"","Em_innitials","Endosperm","SC_endothelium","SC_epidermis","SC_hillum_parenchyma","SC_hillum_vasculature","SC_inner_integument","SC_parenchyma","SC_phloem"
"Legume.fam3.00811_Glyma.10G014000",0,1,0,0,0,0,0,0,0
"Legume.fam3.00811_Glyma.03G218600",0,0,0,0,0,0,0,0,0
"Legume.fam3.00811_Glyma.19G215400",0,0,0,0,0,0,0,0,0
"Legume.fam3.00816_Glyma.03G248000",0,0,0,0,0,0,0,0,0
"Legume.fam3.00816_Glyma.19G246000",0,0,0,0,0,1,0,0,0
"Legume.fam3.00816_Glyma.10G163400",0,0,0,0,0,0,0,0,0
"Legume.fam3.00816_Glyma.20G226000",0,0,0,0,0,0,0,0,0
"Legume.fam3.00845_Glyma.16G015400",0,0,0,0,0,0,1,0,0
"Legume.fam3.00845_Glyma.07G046800",0,0,0,0,0,0,0,0,0
"Legume.fam3.00845_Glyma.19G261700",0,0,0,0,0,0,0,0,0
"Legume.fam3.00845_Glyma.03G262700",0,0,0,0,0,0,0,0,0
"Legume.fam3.00849_Glyma.13G350700",1,0,0,0,0,0,0,0,1
"Legume.fam3.00849_Glyma.15G023800",0,0,1,0,0,0,1,0,0
"Legume.fam3.00849_Glyma.07G010400",0,0,0,0,0,1,1,0,0
"Legume.fam3.00849_Glyma.08G193500",0,0,0,0,0,0,1,0,0
"Legume.fam3.00861_Glyma.05G201200",0,0,0,0,0,0,1,0,0
"Legume.fam3.00861_Glyma.08G008600",0,0,0,0,0,0,0,0,0
"Legume.fam3.00861_Glyma.04G200300",0,0,0,0,0,0,0,0,0
"Legume.fam3.00861_Glyma.06G165302",0,0,0,0,0,0,0,0,0
"Legume.fam3.00863_Glyma.04G203200",0,0,0,0,0,0,0,0,1
"Legume.fam3.00863_Glyma.06G162300",0,0,0,0,0,0,0,0,0
"Legume.fam3.00863_Glyma.08G005900",0,0,0,0,0,0,0,0,1
"Legume.fam3.00863_Glyma.05G198700",0,0,0,0,0,0,0,0,1
"Legume.fam3.00865_Glyma.04G205800",0,0,0,0,0,0,0,0,0
"Legume.fam3.00865_Glyma.06G159800",0,0,0,0,0,0,0,0,0
"Legume.fam3.00865_Glyma.08G004900",0,0,1,0,0,0,0,0,0
"Legume.fam3.00865_Glyma.05G197500",0,0,0,0,0,0,0,0,0
"Legume.fam3.00866_Glyma.08G003300",0,0,0,0,0,0,0,0,0
"Legume.fam3.00866_Glyma.05G195700",0,0,0,0,0,0,0,0,0
"Legume.fam3.00866_Glyma.06G158200",0,1,1,0,0,0,0,0,0
"Legume.fam3.00866_Glyma.04G207600",0,1,0,0,0,0,0,0,0
"Legume.fam3.00873_Glyma.13G112600",1,1,0,0,0,1,0,0,0
"Legume.fam3.00873_Glyma.17G047100",0,0,0,0,0,0,0,0,1
"Legume.fam3.00873_Glyma.15G181000",0,0,0,0,0,0,0,0,0
"Legume.fam3.00873_Glyma.09G072200",1,1,0,0,0,0,0,0,0
