RNA_hp1:Dividing_cell	RNA_hp1:Endodermis	RNA_hp1:Epidermis	RNA_hp1:Inner_cortex	RNA_hp1:Outer_cortex	RNA_hp1:Pericycle	RNA_hp1:Phloem	RNA_hp1:Pith	RNA_hp1:Procambium	RNA_hp1:Trichome	RNA_hp1:Unknown	RNA_hp1:Vascular_parenchyma	RNA_hp1:Xylem	RNA_hp2:Dividing_cell	RNA_hp2:Endodermis	RNA_hp2:Epidermis	RNA_hp2:Inner_cortex	RNA_hp2:Outer_cortex	RNA_hp2:Pericycle	RNA_hp2:Phloem	RNA_hp2:Pith	RNA_hp2:Procambium	RNA_hp2:Trichome	RNA_hp2:Unknown	RNA_hp2:Vascular_parenchyma	RNA_hp2:Xylem
Glyma.01G014100	3	0	4	4	10	1	1	36	20	7	3	14	3	11	2	1	1	23	1	1	38	31	2	1	13	1
Glyma.01G014200	27	0	3	3	22	0	7	23	21	10	5	22	2	30	0	5	9	20	3	7	34	17	24	2	30	2
Glyma.01G014400	10	1	3	1	22	2	2	31	17	6	1	20	2	11	6	7	5	29	2	1	25	19	14	7	12	7
Glyma.01G014500	16	5	4	3	28	2	6	15	42	14	7	23	4	20	5	10	11	39	7	12	29	27	10	4	37	3
Glyma.01G014700	20	24	65	75	330	17	25	175	68	235	9	134	24	26	60	109	103	336	27	25	179	89	276	8	203	25
Glyma.01G014900	3	3	3	7	26	2	5	12	10	12	1	6	3	3	0	3	5	32	3	0	26	13	19	3	19	3
Glyma.01G015000	24	42	36	52	243	46	56	195	110	110	19	155	20	38	61	67	54	225	45	56	193	137	113	22	199	21
Glyma.01G015100	4	4	2	4	20	4	6	11	12	9	1	14	3	1	4	10	3	28	2	5	18	10	15	4	13	1
Glyma.01G015200	9	7	5	7	18	6	11	19	15	18	4	19	8	7	2	10	6	37	6	8	35	21	10	0	22	4
Glyma.01G015300	2	2	4	4	17	2	5	12	11	3	1	21	2	5	3	1	2	13	1	7	15	14	5	2	16	3
Glyma.01G015400	19	7	9	17	62	3	15	41	49	9	3	40	5	23	3	23	10	66	3	19	28	40	6	10	41	6
Glyma.01G015500	11	6	13	17	80	8	13	57	28	53	2	39	8	19	24	21	21	95	11	22	69	30	36	10	38	1
Glyma.01G015600	23	21	13	32	129	20	15	108	64	56	15	142	17	12	20	13	46	144	13	22	120	78	56	29	95	25
Glyma.01G015900	7	3	7	9	21	2	9	19	21	18	9	9	1	12	4	10	5	29	1	6	23	24	23	5	23	5
Glyma.01G016100	7	2	4	3	24	3	1	15	20	11	2	11	2	17	1	2	3	33	7	8	23	21	12	5	19	4
Glyma.01G016200	2	0	4	3	19	2	9	21	12	13	0	9	1	3	1	1	9	26	2	3	21	13	7	3	8	0
Glyma.01G016300	3	4	7	11	57	13	15	36	17	25	4	29	3	10	10	10	9	70	11	13	45	33	22	5	32	3
Glyma.01G016400	1	6	5	6	21	2	2	21	14	17	2	20	4	4	7	10	6	32	2	7	28	33	13	8	22	7
Glyma.01G016500	0	1	77	1	6	1	0	4	5	2	0	2	2	1	0	95	3	15	0	1	2	3	2	1	1	0
Glyma.01G016800	54	35	92	45	265	41	65	258	164	152	15	274	58	66	54	167	94	390	63	72	357	232	239	42	359	59
Glyma.01G016900	10	9	16	13	71	21	22	67	40	33	3	45	8	24	9	16	11	77	13	21	65	49	31	3	61	5
Glyma.01G017000	39	26	66	37	294	40	67	339	124	44	8	216	16	33	40	117	52	371	63	85	385	173	84	17	277	18
Glyma.01G017100	15	28	64	17	186	16	37	121	47	204	1	66	10	20	30	109	21	205	15	40	115	41	198	9	76	11
Glyma.01G017700	58	91	80	105	494	114	104	481	191	121	37	523	34	78	84	205	123	596	115	135	520	319	149	44	637	50
Glyma.01G017800	8	16	3	17	41	6	4	38	14	97	1	29	2	4	19	7	17	49	12	9	34	10	103	4	31	6
Glyma.01G018100	34	54	33	47	148	76	72	513	101	47	28	119	15	39	59	49	60	214	89	47	732	92	47	18	155	20
Glyma.01G018300	15	1	4	5	25	2	5	18	6	12	3	15	1	24	2	10	1	24	6	4	14	10	9	1	14	5
Glyma.01G018400	47	48	63	82	354	66	61	260	111	132	21	261	16	54	71	103	116	482	54	75	356	139	187	28	362	33
Glyma.01G018600	7	3	2	2	19	2	5	16	13	4	3	19	1	12	2	2	3	23	3	7	20	26	7	3	28	5
Glyma.01G018700	4	1	6	6	15	4	2	10	3	10	2	8	0	5	0	10	6	20	1	3	12	13	8	4	14	5
Glyma.01G018800	9	10	14	6	86	6	5	36	39	25	2	37	3	10	5	11	3	74	5	3	16	29	13	3	22	7
Glyma.01G019000	3	2	2	5	9	1	3	9	3	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma.01G019100	16	18	53	65	518	20	17	252	67	53	8	193	5	22	29	63	82	537	29	13	278	71	64	23	198	6
Glyma.01G019200	20	30	62	10	505	12	35	235	51	366	7	118	27	9	58	75	19	687	22	12	231	71	592	7	126	21
Glyma.01G019300	12	2	10	4	44	0	4	8	28	14	1	10	3	9	3	17	0	60	2	7	13	32	13	0	17	2
