RNA_hp1:Dividing_cell	RNA_hp1:Endodermis	RNA_hp1:Epidermis	RNA_hp1:Inner_cortex	RNA_hp1:Outer_cortex	RNA_hp1:Pericycle	RNA_hp1:Phloem	RNA_hp1:Pith	RNA_hp1:Procambium	RNA_hp1:Trichome	RNA_hp1:Unknown	RNA_hp1:Vascular_parenchyma	RNA_hp1:Xylem	RNA_hp2:Dividing_cell	RNA_hp2:Endodermis	RNA_hp2:Epidermis	RNA_hp2:Inner_cortex	RNA_hp2:Outer_cortex	RNA_hp2:Pericycle	RNA_hp2:Phloem	RNA_hp2:Pith	RNA_hp2:Procambium	RNA_hp2:Trichome	RNA_hp2:Unknown	RNA_hp2:Vascular_parenchyma	RNA_hp2:Xylem
Glyma.13G271000	1	1	2	4	23	4	3	11	19	5	4	15	10	2	8	8	6	38	1	9	28	26	5	3	11	10
Glyma.13G271100	16	13	19	26	113	11	18	60	56	13	3	61	7	42	10	31	31	114	16	24	64	47	21	6	68	9
Glyma.13G271200	6	4	9	6	20	9	9	23	16	8	8	21	0	9	3	6	6	43	0	14	23	17	9	5	24	4
Glyma.13G271400	13	6	1	5	12	3	5	9	13	4	3	9	1	17	1	4	4	22	1	7	18	20	12	0	12	1
Glyma.13G271800	1	1	5	1	19	1	5	9	8	3	1	7	110	0	2	1	4	17	0	1	8	8	4	0	4	128
Glyma.13G272000	54	94	154	77	598	36	71	419	249	424	36	436	37	99	117	220	186	816	56	140	802	315	320	138	820	47
Glyma.13G272200	23	11	12	19	123	2	17	68	54	39	10	67	6	26	22	29	26	118	14	21	80	50	46	20	60	5
Glyma.13G272500	12	1	2	6	10	1	19	14	5	2	9	14	1	10	3	7	24	16	2	21	28	8	2	16	26	3
Glyma.13G272600	4	0	1	2	20	3	3	16	15	10	2	13	1	8	3	3	7	20	2	7	18	16	8	2	13	0
Glyma.13G272800	20	14	8	8	77	9	12	36	41	33	4	38	4	26	14	14	7	64	10	21	36	38	44	12	53	8
Glyma.13G273000	14	4	4	15	43	4	14	31	23	8	3	95	13	18	8	9	25	50	1	19	35	32	1	6	110	10
Glyma.13G273200	4	0	2	7	22	0	3	15	8	4	0	12	0	6	1	7	4	32	3	5	16	17	4	0	13	4
Glyma.13G273300	17	7	11	14	54	4	13	44	61	22	3	26	8	26	5	17	17	45	7	10	28	58	11	10	38	8
Glyma.13G273500	3	1	1	1	5	2	3	3	7	6	1	10	0	9	1	3	0	15	1	2	5	7	2	0	8	0
Glyma.13G273800	9	4	8	2	30	2	6	23	16	23	0	18	2	5	5	9	6	22	7	19	25	18	27	1	19	2
Glyma.13G273900	27	24	16	36	92	41	62	148	102	26	8	276	12	24	21	33	55	88	37	92	141	138	26	23	287	10
Glyma.13G274100	3	6	20	1	26	5	5	26	15	30	7	14	4	7	2	12	5	33	6	7	28	30	32	11	17	7
Glyma.13G274500	48	38	67	71	234	28	74	167	152	72	12	161	264	59	38	79	72	249	33	92	170	161	69	36	175	254
Glyma.13G274800	3	9	5	14	39	8	11	52	38	14	5	33	2	9	4	8	18	57	7	5	48	31	14	10	31	2
Glyma.13G275100	4	4	3	2	6	2	4	2	10	10	0	5	0	4	5	1	3	8	0	4	2	6	10	0	6	0
Glyma.13G275300	12	8	7	12	85	6	10	57	27	8	2	27	5	7	8	23	19	92	3	13	58	32	13	2	28	3
Glyma.13G275400	19	11	94	23	183	8	5	126	18	131	0	48	2	17	11	137	62	330	23	9	172	23	144	8	81	2
Glyma.13G275500	4	2	4	1	36	1	1	26	7	29	0	3	0	4	1	16	1	59	7	2	26	9	24	1	15	0
Glyma.13G275600	0	0	13	0	14	0	2	3	7	13	35	1	2	1	2	21	5	16	1	4	3	2	12	69	6	0
Glyma.13G275850	127	56	293	66	319	31	165	345	325	311	61	596	17	207	74	537	154	649	30	339	853	433	202	190	1162	26
Glyma.13G275900	5	0	6	1	26	1	8	15	24	11	0	22	2	12	2	4	7	30	0	2	12	18	9	2	23	2
Glyma.13G276000	10	9	17	16	64	3	24	37	40	46	3	35	2	14	7	15	8	78	9	37	47	29	17	21	76	11
Glyma.13G276100	4	2	7	3	16	4	10	4	5	11	0	6	3	3	0	3	4	11	4	18	4	9	15	0	11	3
Glyma.13G276300	10	2	2	4	5	2	1	4	18	1	1	7	0	11	2	4	3	9	2	2	8	18	5	1	5	1
Glyma.13G276400	5	1	5	6	24	4	4	12	18	17	3	23	0	14	4	6	5	32	4	7	21	31	10	2	17	1
Glyma.13G276500	56	50	123	67	333	47	47	251	183	104	31	236	62	94	66	212	119	430	57	76	264	214	104	39	271	78
Glyma.13G276600	7	6	36	14	107	13	8	90	45	34	5	50	7	15	2	53	10	146	9	11	108	45	57	10	70	4
Glyma.13G276700	21	16	52	37	227	17	30	129	54	28	9	131	14	29	16	35	35	297	20	34	139	62	48	23	183	4
Glyma.13G276800	17	12	10	23	96	16	15	100	51	29	7	61	5	13	7	19	24	116	15	12	95	39	22	6	60	8
Glyma.13G276900	5	1	1	0	8	2	2	4	11	0	5	4	2	5	0	3	3	10	0	1	10	20	0	6	4	1
Glyma.13G277000	2	3	2	2	12	1	2	4	4	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma.13G277100	11	18	5	17	36	8	6	32	9	39	5	24	1	3	25	6	8	52	16	4	21	15	50	3	21	0
Glyma.13G277200	23	26	23	41	179	32	39	132	81	70	8	134	5	31	44	29	20	190	34	28	127	97	90	11	125	11
Glyma.13G277400	3	8	5	4	28	4	8	24	23	19	2	19	5	4	6	10	6	35	2	8	26	26	28	2	21	2
Glyma.13G277700	12	12	12	13	43	3	17	30	30	23	4	26	1	30	5	13	15	47	6	6	22	44	14	5	37	3
Glyma.13G277900	2	3	4	7	24	1	2	21	10	9	4	15	1	6	4	3	6	29	1	8	11	10	9	5	21	2
Glyma.13G278100	47	19	13	42	102	18	47	88	77	76	9	92	8	57	28	31	36	126	22	49	109	89	77	14	77	17
Glyma.13G278200	6	3	13	0	19	4	5	25	35	23	3	7	0	18	12	12	0	20	4	5	14	35	19	3	10	4
Glyma.13G278300	6	1	1	1	7	1	8	9	43	2	4	10	2	20	1	2	1	14	3	6	5	47	2	2	9	4
Glyma.13G278400	33	17	246	46	583	12	15	117	96	85	12	97	5	36	27	334	39	705	20	18	93	93	88	10	109	3
Glyma.13G278500	20	7	28	13	58	14	18	33	49	22	4	41	5	22	10	25	20	69	14	19	50	45	23	5	37	4
Glyma.13G278700	20	23	40	45	133	18	14	103	68	33	12	76	4	25	30	56	68	169	28	7	117	88	52	20	133	3
Glyma.13G278800	18	11	16	15	56	4	14	50	40	21	9	17	29	34	4	12	17	90	10	16	58	84	23	9	44	25
Glyma.13G278900	9	4	12	9	54	7	8	37	21	16	5	27	5	18	5	25	8	53	2	8	46	29	25	3	30	12
Glyma.13G279000	18	8	14	5	50	8	7	24	27	32	7	21	6	12	10	17	9	44	7	7	30	43	24	5	34	1
Glyma.13G279100	20	8	44	12	237	9	20	67	53	106	15	50	0	30	3	45	26	320	12	23	96	97	59	44	50	1
Glyma.13G279200	25	8	89	97	506	8	32	95	127	21	17	161	15	23	25	136	64	507	9	22	60	138	31	15	146	19
Glyma.13G279300	2	0	4	2	17	1	3	5	8	5	1	6	3	3	0	4	6	14	2	4	8	14	5	1	5	5
Glyma.13G279400	39	23	78	56	184	19	48	80	162	93	19	97	17	60	53	97	87	256	28	68	71	172	105	15	148	29
Glyma.13G279500	29	13	25	25	70	6	30	45	44	28	5	43	86	29	14	43	14	82	6	50	60	57	22	4	77	320
Glyma.13G279600	27	9	138	41	404	21	54	109	116	46	8	99	299	19	20	199	40	540	10	55	116	177	45	18	117	354
Glyma.13G279900	65	41	171	123	544	34	71	561	169	106	23	439	36	76	60	261	191	834	44	95	603	256	175	37	771	43
Glyma.13G280200	29	10	12	14	41	10	15	37	45	32	4	47	2	41	11	11	8	64	9	20	48	61	26	6	45	5
Glyma.13G280300	44	13	22	35	80	17	20	63	104	33	6	80	9	84	20	24	17	94	11	29	79	98	31	15	78	18
Glyma.13G280400	1	0	1	1	6	0	4	2	5	21	0	2	0	1	1	4	1	4	0	2	3	0	26	0	2	0
Glyma.13G280600	3	8	9	7	65	6	3	30	14	77	3	24	9	4	11	21	9	92	10	12	44	23	81	4	35	6
Glyma.13G280700	37	17	22	27	145	17	23	98	84	63	8	71	13	44	20	38	50	188	19	33	92	128	48	18	122	23
Glyma.13G281300	6	8	6	13	47	6	4	43	19	18	5	37	2	8	18	12	12	91	14	8	40	26	35	6	33	1
Glyma.13G281400	52	90	57	89	363	121	41	275	161	222	18	288	12	43	88	64	125	459	144	55	332	157	315	29	351	33
Glyma.13G281600	49	1	2	12	10	0	2	11	6	19	0	6	0	69	6	10	10	7	1	3	17	5	16	0	9	4
Glyma.13G281800	6	5	2	5	17	1	6	14	9	8	0	13	0	4	5	8	3	17	4	6	13	14	5	2	17	3
Glyma.13G281900	47	15	12	179	127	26	26	117	63	15	2	106	1	54	28	31	162	148	36	35	101	63	20	5	98	3
Glyma.13G282000	16	22	33	51	165	16	33	89	59	38	8	95	8	26	21	31	50	211	15	29	103	39	35	25	77	11
Glyma.13G282200	1	0	2	3	7	0	3	19	4	16	0	13	1	3	0	2	1	7	0	2	31	6	16	0	16	3
Glyma.13G282300	9	5	38	9	34	7	12	34	14	30	3	33	5	7	11	52	7	33	3	26	26	23	28	5	17	4
Glyma.13G282700	17	17	9	24	91	12	23	82	53	58	2	82	14	32	25	23	32	123	16	32	109	65	64	9	92	12
Glyma.13G283000	1	5	2	19	47	3	1	12	3	5	1	3	2	1	4	1	10	51	6	1	20	4	11	1	18	8
Glyma.13G283400	3	2	81	3	29	1	3	18	6	18	0	8	3	3	2	157	2	18	3	4	5	16	13	1	10	2
Glyma.13G283500	26	73	62	86	384	89	28	180	153	137	30	215	12	50	95	71	86	458	109	46	234	192	211	36	269	19
Glyma.13G283600	27	60	44	75	244	39	65	161	103	109	30	156	13	54	91	77	73	336	72	91	188	118	150	33	220	24
Glyma.13G283900	2	1	5	0	48	0	4	4	6	2	0	10	0	3	4	4	3	77	2	5	8	7	4	4	9	2
Glyma.13G284100	1	7	20	8	104	6	4	38	42	23	8	38	8	9	9	34	15	97	10	10	46	60	21	11	49	24
Glyma.13G284200	32	18	24	32	83	19	19	69	96	24	8	94	26	56	41	30	39	110	11	43	98	146	36	13	151	28
Glyma.13G284400	31	0	5	2	17	35	15	225	108	5	6	101	12	40	1	9	4	11	11	29	256	111	2	5	161	8
Glyma.13G284800	2	1	11	2	10	1	2	12	10	3	0	4	14	1	0	5	1	9	0	2	4	15	6	2	8	25
Glyma.13G284900	6	3	87	17	138	11	4	59	48	68	0	34	4	15	4	136	6	191	13	13	43	57	81	0	32	3
Glyma.13G285300	4	9	27	9	34	9	7	42	13	462	1	26	4	8	3	41	6	68	16	20	35	23	658	9	22	5
Glyma.13G285400	26	90	194	61	325	75	54	358	100	385	36	231	16	36	146	287	74	427	94	90	434	129	460	62	338	23
Glyma.13G285500	46	28	13	1	66	16	44	66	52	51	19	91	7	37	43	35	5	72	24	69	94	67	45	19	110	7
Glyma.13G285600	9	0	7	2	12	3	2	11	6	6	0	10	2	9	2	5	6	21	2	7	20	8	14	3	4	4
Glyma.13G285800	5	2	2	1	30	0	2	16	9	8	0	15	0	5	2	6	1	45	1	1	17	15	6	4	24	0
Glyma.13G286000	31	6	14	9	42	7	21	43	50	17	7	26	5	53	7	16	10	30	5	18	53	48	10	15	62	2
Glyma.13G286100	1	1	1	2	8	1	37	24	1	0	0	0	1	1	0	2	0	1	0	56	21	1	0	4	4	0
Glyma.13G286300	3	2	17	4	17	4	348	100	18	6	4	44	3	8	5	4	9	28	9	443	119	18	15	6	43	5
Glyma.13G286400	44	41	15	67	117	19	65	62	107	21	2	100	107	35	49	26	68	132	12	95	84	128	17	9	99	142
Glyma.13G286600	3	6	72	3	253	2	9	51	13	140	4	39	1	12	6	145	9	461	5	20	63	15	255	2	52	9
Glyma.13G286700	56	61	64	70	384	52	87	532	212	153	43	391	35	74	81	119	186	606	71	133	849	306	178	58	632	19
Glyma.13G286900	0	2	1	2	8	3	2	12	3	5	0	9	61	8	3	3	2	15	0	7	8	8	10	1	9	64
Glyma.13G287000	22	27	13	27	116	19	28	72	39	69	8	86	7	16	45	17	15	124	12	29	63	49	84	10	61	7
Glyma.13G287100	49	25	23	39	144	33	40	87	108	36	11	108	14	45	25	30	44	164	17	38	123	130	43	16	118	28
Glyma.13G287200	4	6	7	5	25	3	5	19	26	6	1	15	11	20	12	9	9	42	3	4	27	40	10	8	25	12
Glyma.13G287400	5	9	7	13	60	5	11	38	16	43	2	42	2	12	11	8	15	71	11	13	67	30	41	3	47	4
Glyma.13G287500	1	2	1	2	10	1	3	5	6	4	2	9	0	9	1	2	4	24	3	4	8	1	10	7	10	0
Glyma.13G288200	8	19	14	18	49	16	13	47	40	39	9	44	5	20	30	17	21	70	8	32	51	56	38	8	39	10
Glyma.13G288400	33	50	47	61	180	36	42	117	131	138	13	170	29	34	47	50	46	186	51	41	167	133	182	16	184	31
Glyma.13G289300	13	22	16	19	79	23	13	58	41	54	44	72	9	25	19	21	30	119	13	27	75	73	47	70	134	6
Glyma.13G289400	38	17	18	21	95	37	22	66	83	36	16	106	2	27	37	22	41	136	29	11	95	73	51	7	110	6
Glyma.13G289600	0	3	3	6	23	2	4	42	2	5	0	15	0	1	0	0	3	35	5	4	36	3	11	2	16	7
Glyma.13G289800	23	2	9	15	29	4	18	33	64	4	14	31	16	41	5	6	21	47	5	20	37	91	9	8	42	21
Glyma.13G289900	15	6	4	13	29	11	10	28	12	8	0	47	1	13	5	6	8	54	7	5	34	21	12	4	50	1
Glyma.13G290000	2	6	4	8	20	6	8	31	17	8	1	17	3	3	7	6	9	38	1	16	29	18	20	4	17	0
Glyma.13G290400	110	64	176	183	866	71	97	545	328	233	39	403	102	189	138	300	223	1145	106	112	741	393	389	72	513	148
Glyma.13G290500	4	1	3	1	7	2	1	4	5	5	1	6	2	5	4	8	5	11	0	5	5	4	2	2	7	6
Glyma.13G290900	19	25	27	18	115	14	26	92	85	57	13	72	10	35	18	23	26	106	14	37	85	66	61	21	74	11
Glyma.13G291000	3	4	0	3	19	1	1	11	6	4	0	9	0	7	3	7	6	20	1	2	18	3	5	1	1	1
Glyma.13G291200	4	2	0	2	13	0	2	8	15	2	3	8	0	11	1	2	3	9	2	0	14	11	0	1	11	0
Glyma.13G291300	16	4	5	7	32	8	6	24	18	17	2	23	2	29	12	11	8	38	4	10	28	33	16	10	28	2
Glyma.13G291500	6	8	5	10	33	2	14	28	30	15	3	20	6	13	8	8	6	28	4	9	32	35	13	7	24	12
Glyma.13G291600	1	1	1	3	7	2	3	10	10	3	1	5	1	1	5	1	4	11	4	2	9	12	2	0	4	0
Glyma.13G291700	21	29	10	14	32	10	24	35	150	219	1	58	5	27	52	8	16	56	16	49	33	282	203	3	105	25
Glyma.13G292102	5	3	2	8	17	5	5	24	15	8	1	7	1	3	4	2	2	8	6	8	17	27	9	0	18	2
Glyma.13G292200	24	20	18	23	91	14	28	103	49	42	4	58	6	31	35	20	27	93	23	34	93	61	40	6	67	8
Glyma.13G292800	17	2	7	27	92	4	42	78	19	6	2	151	2	22	3	14	38	93	18	54	99	32	10	6	199	1
Glyma.13G293100	2	2	2	8	8	0	3	8	38	2	1	7	17	5	2	3	5	19	1	5	6	26	9	2	14	29
Glyma.13G293200	18	35	17	20	128	11	28	68	50	383	6	81	16	23	43	29	25	148	13	26	104	61	405	10	91	29
Glyma.13G293400	8	6	4	9	49	3	8	45	23	13	1	22	1	14	6	6	13	54	5	9	49	21	17	4	17	8
Glyma.13G293500	6	5	6	17	76	8	9	41	16	21	11	19	3	10	5	19	18	91	1	10	63	13	23	5	21	2
Glyma.13G293600	8	0	2	0	6	1	3	4	17	5	0	3	1	7	1	5	3	11	0	0	3	26	3	0	5	0
Glyma.13G293800	8	6	0	1	12	10	3	1	9	4	0	16	0	8	6	0	4	11	5	0	3	10	4	0	11	0
Glyma.13G294100	5	6	11	0	32	2	1	25	7	6	4	11	3	3	6	7	3	35	2	3	26	5	12	1	18	2
Glyma.13G294200	20	50	18	41	155	52	29	90	27	183	11	87	6	22	70	46	70	287	72	55	175	50	194	21	188	10
Glyma.13G294300	2	14	2	154	90	0	3	3	9	12	3	13	1	0	16	5	199	82	3	2	3	6	7	5	9	2
Glyma.13G294400	2	3	0	4	17	3	19	22	82	9	2	15	2	3	2	11	12	27	5	38	26	200	12	9	27	10
Glyma.13G294500	10	10	16	9	40	12	9	27	31	31	4	36	5	11	7	14	4	72	7	13	35	39	26	7	40	2
Glyma.13G294700	14	3	1	5	26	4	9	17	16	13	5	21	1	12	8	8	5	41	3	7	28	19	12	4	28	5
Glyma.13G295100	29	25	26	38	186	31	37	161	78	130	14	104	10	45	41	40	50	237	37	39	190	82	119	14	140	18
Glyma.13G295300	11	4	9	20	40	0	14	17	15	5	1	10	3	16	4	10	24	39	2	14	27	30	3	3	18	1
Glyma.13G295500	18	11	14	13	63	6	11	46	50	30	9	47	5	18	3	18	15	61	10	11	42	39	26	6	50	5
Glyma.13G295600	10	11	9	12	45	7	13	41	23	31	2	31	34	14	14	13	13	75	6	11	41	47	27	6	33	52
Glyma.13G296200	4	4	2	9	30	10	1	26	8	5	1	11	2	2	9	0	8	39	12	2	24	6	7	1	18	1
Glyma.13G296300	3	0	15	4	40	0	4	9	4	20	0	3	0	0	0	19	6	54	1	3	21	7	14	0	5	0
Glyma.13G296400	11	21	44	31	164	18	25	138	50	119	15	101	24	13	30	55	29	155	20	30	105	57	133	17	169	28
Glyma.13G296600	1	2	7	3	20	0	2	9	4	4	1	4	4	2	1	5	6	23	0	2	11	5	3	5	11	7
Glyma.13G296700	10	5	3	2	12	2	2	9	5	3	3	13	0	14	5	5	2	16	4	1	13	5	8	1	12	2
Glyma.13G296800	7	8	11	2	18	2	1	22	14	17	1	23	2	4	3	25	8	58	3	8	42	37	35	8	88	3
Glyma.13G296900	91	184	609	153	809	34	101	407	366	500	102	1223	24	251	148	1175	285	1588	92	259	1063	937	631	408	3525	74
Glyma.13G297000	0	5	12	1	8	3	2	4	4	1	0	9	0	2	9	19	0	36	2	1	4	13	16	0	20	0
Glyma.13G297200	29	27	66	43	447	62	34	309	139	192	33	218	22	34	28	134	92	697	75	65	495	237	219	69	458	37
Glyma.13G297400	26	45	38	98	343	15	38	100	84	66	35	229	6	32	37	74	137	590	35	88	265	187	84	99	694	24
Glyma.13G297500	10	3	3	4	25	1	7	22	18	3	1	16	0	13	4	1	7	30	3	8	20	19	11	3	18	5
Glyma.13G297700	11	25	18	23	100	15	11	84	45	46	11	64	8	16	28	26	25	143	18	25	105	71	55	10	78	9
Glyma.13G298000	5	4	9	6	58	2	10	38	21	19	5	15	3	11	8	17	9	65	4	16	27	24	28	3	20	11
Glyma.13G298300	4	1	2	0	14	1	0	9	8	5	0	14	0	7	5	4	2	17	1	0	8	9	5	5	17	0
Glyma.13G298600	2	2	1	3	4	0	0	2	9	11	0	5	0	1	1	5	0	12	1	1	7	6	12	5	3	0
Glyma.13G299100	0	2	2	1	2	17	1	15	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma.13G299300	12	12	16	19	107	6	9	60	62	81	6	65	2	15	22	17	31	110	12	9	69	54	91	3	82	0
Glyma.13G299500	2	1	6	3	23	1	2	16	11	16	3	19	2	8	3	7	11	35	2	9	19	19	13	6	16	4
Glyma.13G299600	12	5	29	30	129	11	7	111	30	95	4	54	1	13	17	67	57	231	5	7	155	28	101	11	93	4
Glyma.13G299900	0	3	3	3	29	0	4	20	6	7	3	10	1	8	0	5	4	14	0	5	17	10	3	6	13	0
Glyma.13G300000	88	8	18	102	329	12	30	216	141	21	16	225	3	121	10	39	170	431	25	32	446	207	47	68	430	11
Glyma.13G300200	4	2	5	7	13	1	1	18	17	3	4	10	1	14	3	5	5	28	1	9	14	13	7	7	13	2
Glyma.13G300300	24	4	8	8	54	3	15	36	36	13	2	29	5	43	15	17	7	67	6	22	41	44	12	5	48	6
Glyma.13G300700	7	1	2	9	20	2	4	12	17	10	1	15	2	13	4	14	3	29	2	14	18	23	11	1	23	3
Glyma.13G301000	5	3	5	1	18	2	2	5	7	3	2	9	1	3	0	6	4	10	4	5	10	19	10	0	13	1
Glyma.13G301100	23	16	22	28	102	22	25	82	85	36	9	67	5	22	20	29	37	133	16	38	90	96	46	24	92	14
Glyma.13G301200	50	40	26	58	193	28	37	101	98	47	8	129	11	46	47	59	52	246	24	42	105	142	66	17	153	21
Glyma.13G301300	7	2	2	4	11	0	8	9	15	2	1	20	1	12	0	2	0	12	4	1	15	23	3	2	28	1
Glyma.13G301400	5	1	0	0	23	0	2	8	1	3	1	6	2	6	1	2	0	21	2	2	4	4	1	0	6	1
Glyma.13G302100	2	2	9	7	67	0	7	26	16	7	2	8	1	3	2	7	5	121	3	4	28	13	4	1	13	2
Glyma.13G302166	8	7	21	18	72	6	9	45	15	30	3	31	4	10	5	58	16	117	8	17	48	13	21	7	47	3
Glyma.13G302800	18	9	21	24	92	13	29	184	33	239	4	64	3	23	10	40	23	108	15	25	171	36	172	3	75	3
Glyma.13G302900	12	5	22	30	123	5	15	56	44	17	4	70	3	7	7	43	25	171	7	9	59	48	13	5	61	11
Glyma.13G303500	7	3	2	3	9	1	2	4	9	1	1	4	0	15	2	1	3	9	1	3	3	4	3	0	6	0
Glyma.13G303600	23	33	20	26	189	34	17	116	72	67	6	86	16	21	55	36	39	172	30	31	92	84	92	5	106	27
Glyma.13G303700	49	92	93	121	407	84	52	257	123	215	31	257	20	53	159	165	155	689	119	99	343	190	326	55	340	37
Glyma.13G303800	8	6	15	13	314	7	4	65	36	66	3	40	1	4	8	35	26	437	12	18	78	43	125	9	32	0
Glyma.13G304300	7	9	16	13	65	2	7	32	32	6	3	37	6	9	11	14	14	61	4	9	41	45	8	4	36	12
Glyma.13G304400	267	86	140	460	1148	67	258	877	551	155	92	785	48	365	114	247	610	1558	74	263	1186	749	186	220	1157	61
Glyma.13G305000	89	78	80	99	397	53	84	261	195	168	25	280	27	94	83	104	111	375	52	100	276	208	202	26	302	43
Glyma.13G306500	17	15	10	31	106	16	17	68	82	35	10	70	13	33	14	20	28	135	13	23	98	109	44	18	84	22
Glyma.13G306700	16	8	16	23	72	11	21	48	45	24	13	39	8	32	25	18	17	89	16	27	55	51	33	10	38	15
Glyma.13G307000	32	6	5	33	31	9	15	28	54	24	11	64	5	42	16	10	81	50	15	33	34	55	14	7	95	7
Glyma.13G307200	2	4	2	4	12	2	2	2	14	2	1	15	2	2	4	4	4	10	3	3	10	15	5	4	5	1
Glyma.13G307300	2	0	2	5	23	0	7	10	9	3	49	11	1	1	2	4	3	26	0	5	10	3	9	101	9	1
Glyma.13G307400	14	7	10	15	47	7	28	39	23	15	2	32	2	14	12	13	15	64	4	17	56	32	23	1	32	3
Glyma.13G307600	15	11	19	28	81	13	18	53	34	31	5	47	4	26	23	21	16	94	12	27	65	52	35	5	57	17
Glyma.13G308100	14	3	4	14	27	1	3	21	13	7	1	12	3	17	4	4	5	26	5	13	15	21	18	1	18	3
Glyma.13G308200	3	1	51	3	2	0	2	3	1	8	0	1	0	0	3	102	0	5	1	0	1	3	11	0	1	2
Glyma.13G308300	7	5	3	6	39	4	4	42	15	13	7	35	1	3	7	13	12	54	3	14	45	18	17	13	34	5
Glyma.13G308400	4	0	2	11	30	2	21	36	7	7	5	47	1	7	3	9	7	37	3	35	44	10	13	8	58	1
Glyma.13G308500	5	4	3	1	22	3	4	17	7	11	2	30	1	2	5	6	6	24	4	5	19	8	9	3	23	1
Glyma.13G308700	31	31	23	38	130	22	33	99	74	86	16	76	6	30	32	40	25	155	15	21	80	72	104	11	99	12
Glyma.13G308900	8	2	12	9	61	6	26	31	13	20	8	17	8	11	3	23	8	68	4	46	26	11	36	10	25	7
Glyma.13G309300	0	0	7	0	22	0	1	5	4	9	1	3	0	1	0	2	6	22	2	2	7	5	12	0	2	0
Glyma.13G309700	41	26	22	21	130	31	24	122	103	59	7	117	3	39	17	25	37	117	34	25	89	100	82	26	140	14
Glyma.13G309800	10	30	27	6	59	6	11	50	22	107	12	50	6	21	17	58	20	104	6	10	103	60	53	78	173	7
Glyma.13G310202	1	0	3	2	9	3	3	7	16	6	1	7	3	4	2	1	6	13	1	4	11	20	5	2	9	4
Glyma.13G310400	5	1	2	4	21	0	0	16	17	3	3	21	1	9	1	6	5	32	3	4	21	27	2	5	21	1
Glyma.13G310500	4	10	6	8	32	8	14	30	16	26	4	35	8	14	27	6	8	61	10	14	25	37	23	7	32	3
Glyma.13G310600	7	12	5	2	28	6	4	22	26	14	2	18	3	15	8	9	6	39	9	13	36	23	30	2	27	2
Glyma.13G310700	78	1	2	2	4	1	3	7	14	2	2	5	0	117	1	3	2	5	2	1	8	18	1	2	5	0
Glyma.13G310900	20	47	47	47	236	41	59	141	100	144	8	167	15	28	51	60	62	250	56	78	138	88	182	19	186	14
Glyma.13G311000	8	10	16	19	73	5	19	59	49	18	2	57	2	21	11	23	16	87	6	36	75	66	13	7	86	6
Glyma.13G311300	7	8	10	17	75	8	18	55	48	22	11	27	6	22	9	13	17	101	8	23	47	52	15	4	45	9
Glyma.13G311500	2	9	11	9	38	14	12	44	8	127	0	38	5	6	10	14	7	50	13	5	45	23	203	2	28	3
Glyma.13G311600	38	49	50	52	161	42	59	170	111	595	10	137	14	50	75	74	63	190	36	59	175	101	650	18	163	21
Glyma.13G311700	23	19	42	42	169	22	29	150	125	110	10	117	7	32	35	59	46	187	15	19	176	139	88	21	151	8
Glyma.13G311800	37	24	36	52	226	20	34	145	99	85	7	132	17	32	31	78	51	280	34	50	159	148	94	21	190	14
Glyma.13G312000	8	2	3	10	37	2	13	38	18	6	4	25	3	6	7	10	9	58	8	19	45	23	4	2	44	2
Glyma.13G312100	13	4	14	18	91	6	7	52	46	17	4	35	6	12	15	13	34	148	7	9	75	58	21	4	55	7
Glyma.13G312200	27	11	14	11	45	5	12	33	27	13	2	33	5	16	8	9	19	67	2	13	53	27	27	0	41	2
Glyma.13G312300	19	19	32	44	168	22	33	130	91	37	8	93	13	35	24	60	62	196	17	30	119	90	53	11	109	11
Glyma.13G312400	17	16	27	31	124	9	23	83	46	41	6	55	8	24	18	35	32	131	13	32	88	44	64	18	72	5
Glyma.13G312900	40	31	149	73	469	24	53	281	206	55	12	234	14	31	21	153	116	567	32	78	263	258	46	18	315	14
Glyma.13G313000	48	27	39	42	772	54	83	350	181	89	25	263	11	36	19	66	39	1250	54	72	415	212	102	31	259	23
Glyma.13G313500	29	11	51	28	205	12	24	89	106	30	8	101	56	24	27	86	42	230	10	21	128	145	42	12	135	56
Glyma.13G313600	6	9	4	5	16	6	9	8	10	12	2	14	1	11	5	6	6	13	10	9	18	16	21	5	27	2
Glyma.13G314100	1	1	7	3	36	2	4	16	7	18	0	9	4	10	3	14	3	55	7	4	30	9	14	1	21	1
Glyma.13G314500	23	23	13	27	101	23	23	84	58	27	5	64	10	24	31	21	19	101	19	35	70	67	58	6	88	21
Glyma.13G314600	4	3	3	4	25	1	6	23	6	25	1	16	1	4	2	3	4	27	3	10	29	11	30	0	16	0
Glyma.13G314800	23	3	8	17	60	9	10	28	69	10	4	40	8	54	11	13	24	48	8	13	34	65	11	9	44	4
Glyma.13G314900	7	8	11	9	34	3	7	28	28	13	3	25	14	5	13	10	13	40	5	13	24	41	14	3	17	12
Glyma.13G315100	8	6	3	6	45	13	10	44	25	40	4	25	17	9	12	4	8	49	8	13	36	26	35	2	21	8
Glyma.13G315800	5	2	3	2	8	3	14	17	9	11	0	8	1	3	1	3	8	13	1	20	14	9	22	1	12	1
