RNA_en1:Cortex_Epidermis	RNA_en1:Endodermis	RNA_en1:Nodule_infected_cell	RNA_en1:Nodule_meritem	RNA_en1:Nodule_uninfected_cell	RNA_en1:Pericycle	RNA_en1:Phloem	RNA_en1:Procambium	RNA_en1:Xylem	RNA_en2:Cortex_Epidermis	RNA_en2:Endodermis	RNA_en2:Nodule_infected_cell	RNA_en2:Nodule_meritem	RNA_en2:Nodule_uninfected_cell	RNA_en2:Pericycle	RNA_en2:Phloem	RNA_en2:Procambium	RNA_en2:Xylem
Glyma.01G042800	290	9	23	8	35	17	7	48	0	239	1	17	6	29	8	1	38	4
Glyma.01G043800	145	2	21	10	15	5	4	36	1	120	0	25	7	14	0	1	22	0
Glyma.01G044100	714	5	48	28	110	39	16	105	8	591	3	17	7	91	18	3	75	3
Glyma.01G044200	169	1	26	4	23	11	7	26	2	152	1	28	2	21	6	0	26	0
Glyma.01G044300	43	0	5	20	5	0	4	29	0	38	0	8	12	9	2	1	38	0
Glyma.01G045100	950	10	239	37	128	66	28	199	15	876	11	278	23	153	49	23	178	12
Glyma.01G045200	54	2	8	2	3	5	6	11	0	45	0	4	2	5	1	2	5	0
Glyma.01G045300	40	1	4	2	3	4	0	6	0	33	0	8	0	7	1	1	3	0
Glyma.01G045700	66	0	3	1	12	2	1	8	0	39	5	8	1	6	0	1	10	0
Glyma.01G045800	111	0	13	4	21	9	2	12	3	85	0	9	1	14	6	1	9	1
Glyma.01G046000	56	1	11	4	4	2	2	5	0	45	0	3	3	6	3	0	12	0
Glyma.01G046200	33	0	3	1	3	1	0	1	0	0	0	0	0	0	0	0	0	0
Glyma.01G046300	30	0	3	0	5	3	2	2	0	0	0	0	0	0	0	0	0	0
Glyma.01G046400	282	2	53	2	26	22	2	23	1	255	1	41	1	30	2	1	18	0
Glyma.01G046500	275	3	67	9	55	10	9	23	2	182	4	64	8	33	3	3	18	1
Glyma.01G046700	165	1	66	6	18	32	3	28	3	133	0	68	4	19	27	6	14	2
Glyma.01G047000	590	3	78	22	60	32	15	80	3	459	6	51	3	61	15	2	73	3
Glyma.01G047100	429	6	48	15	51	29	19	67	7	369	3	34	10	44	12	5	58	2
Glyma.01G047300	212	2	22	10	32	10	6	33	2	158	2	21	3	27	3	4	23	2
Glyma.01G047700	209	3	23	8	23	8	5	40	7	184	5	21	2	26	6	1	34	3
Glyma.01G048000	138	5	52	5	17	52	9	27	27	96	2	86	3	7	32	2	38	4
Glyma.01G048500	551	3	62	13	48	12	5	37	6	518	4	41	7	45	7	0	28	3
Glyma.01G049100	26	0	5	0	3	2	4	10	0	26	0	1	1	4	0	4	9	0
Glyma.01G050100	212	6	27	10	69	20	3	94	1	157	13	14	5	61	3	0	78	1
Glyma.01G050400	172	2	26	8	26	5	5	21	0	167	4	26	1	29	6	5	39	0
Glyma.01G050500	78	1	6	2	4	7	2	10	3	45	0	3	0	3	1	0	7	0
Glyma.01G051300	164	5	4	7	4	6	2	22	1	188	3	2	5	16	4	0	13	1
Glyma.01G051400	1368	19	211	57	211	79	38	210	17	1179	10	200	35	210	35	14	198	14
Glyma.01G052200	68	0	9	4	9	5	1	23	3	70	0	14	2	12	8	1	7	3
Glyma.01G052400	113	2	13	3	8	9	3	25	2	89	1	6	1	9	4	4	15	1
Glyma.01G052500	38	0	9	2	4	4	0	8	0	0	0	0	0	0	0	0	0	0
Glyma.01G052600	139	4	15	3	17	10	5	14	6	100	0	8	2	17	6	2	16	5
Glyma.01G052800	42	0	6	0	5	3	1	8	1	42	0	4	1	6	0	0	6	1
Glyma.01G053100	60	0	2	4	6	3	2	10	0	43	0	1	1	0	0	0	11	0
Glyma.01G053200	133	0	17	8	17	13	2	16	1	104	0	8	6	9	3	1	19	4
Glyma.01G053300	128	2	15	9	26	8	2	10	1	95	1	7	7	21	0	0	17	1
Glyma.01G053600	28	0	1	1	3	4	2	7	0	0	0	0	0	0	0	0	0	0
Glyma.01G053700	35	1	12	0	4	0	0	1	0	26	0	10	0	4	0	0	3	0
Glyma.01G053800	195	3	20	10	13	19	2	38	1	194	2	20	1	22	17	5	37	1
Glyma.01G054000	106	2	57	3	18	3	7	15	0	84	0	47	2	14	4	5	16	1
Glyma.01G054100	65	1	20	3	12	4	1	9	1	58	0	14	3	19	1	0	6	0
Glyma.01G054200	72	1	10	5	5	2	8	9	0	49	0	9	2	7	4	1	12	0
Glyma.01G054300	53	0	6	1	13	3	1	9	1	36	0	6	0	8	0	0	6	2
Glyma.01G054400	73	0	17	7	17	0	1	11	3	54	0	12	1	10	0	0	14	1
Glyma.01G054500	134	3	41	7	12	7	3	20	2	89	2	34	0	21	2	1	19	1
Glyma.01G054800	115	2	33	5	28	2	6	18	0	93	1	33	3	22	1	4	15	2
Glyma.01G054900	42	0	8	2	9	3	0	5	0	24	0	9	2	10	2	1	5	0
Glyma.01G054950	28	0	7	0	3	0	2	5	1	0	0	0	0	0	0	0	0	0
Glyma.01G055300	99	0	13	5	17	2	3	13	0	67	2	9	1	15	9	0	14	0
Glyma.01G055500	31	0	2	3	5	0	0	6	0	34	0	5	0	3	1	0	3	0
Glyma.01G056300	208	6	16	11	28	47	10	57	0	196	2	19	4	25	30	2	65	7
Glyma.01G056800	166	0	50	4	18	11	10	48	9	173	2	32	2	13	10	7	45	7
Glyma.01G057100	73	2	14	7	10	9	1	26	1	61	2	13	2	20	4	2	17	2
Glyma.01G057400	113	0	14	3	18	7	5	19	2	80	0	5	0	15	3	0	12	2
Glyma.01G057500	123	2	19	6	16	11	5	24	1	100	1	10	2	34	2	2	17	2
Glyma.01G057700	14	0	7	2	14	0	2	2	0	23	0	11	1	28	0	0	3	2
Glyma.01G058000	163	2	38	11	28	7	4	20	5	170	2	31	6	32	4	0	25	2
Glyma.01G058200	94	2	7	4	9	7	4	14	1	69	0	20	2	15	1	0	20	0
Glyma.01G058300	214	6	15	11	34	10	16	30	6	205	2	6	8	40	4	6	32	2
Glyma.01G058400	28	0	2	6	10	1	0	2	0	33	1	2	1	5	0	0	10	0
Glyma.01G058500	148	0	13	4	14	10	8	22	1	153	0	11	3	10	0	5	21	2
