RNA_en1:Cortex_Epidermis	RNA_en1:Endodermis	RNA_en1:Nodule_infected_cell	RNA_en1:Nodule_meritem	RNA_en1:Nodule_uninfected_cell	RNA_en1:Pericycle	RNA_en1:Phloem	RNA_en1:Procambium	RNA_en1:Xylem	RNA_en2:Cortex_Epidermis	RNA_en2:Endodermis	RNA_en2:Nodule_infected_cell	RNA_en2:Nodule_meritem	RNA_en2:Nodule_uninfected_cell	RNA_en2:Pericycle	RNA_en2:Phloem	RNA_en2:Procambium	RNA_en2:Xylem
Glyma.08G165500	40	0	4	2	5	1	3	3	1	0	0	0	0	0	0	0	0	0
Glyma.08G165600	240	9	33	7	36	12	5	38	3	202	3	23	4	31	11	3	35	7
Glyma.08G165700	232	4	34	5	22	11	5	34	0	231	3	15	4	25	6	1	17	0
Glyma.08G165800	266	1	20	11	33	14	12	44	1	222	4	16	10	30	6	6	37	2
Glyma.08G165900	287	3	39	12	34	24	6	40	4	229	8	31	3	27	9	2	37	2
Glyma.08G166300	34	1	10	1	7	3	0	1	1	0	0	0	0	0	0	0	0	0
Glyma.08G167100	93	2	22	8	11	7	1	15	1	83	0	18	4	15	4	2	16	2
Glyma.08G167600	348	4	57	15	39	16	7	69	3	245	4	32	7	36	7	3	40	2
Glyma.08G167800	52	1	12	3	9	4	2	13	0	65	5	5	1	5	1	1	11	0
Glyma.08G168200	328	10	40	16	39	14	15	57	8	318	4	29	5	42	9	2	61	1
Glyma.08G168300	123	2	9	9	18	10	7	50	2	82	3	4	4	13	5	1	35	2
Glyma.08G168700	95	0	8	2	9	8	6	14	1	66	1	9	3	5	4	1	17	0
Glyma.08G168800	103	0	22	4	22	3	3	23	1	97	1	25	1	19	1	1	24	1
Glyma.08G169800	37	0	10	1	19	2	0	6	1	33	0	11	2	11	1	0	6	0
Glyma.08G170000	995	8	152	51	105	71	27	150	5	847	8	87	14	118	29	9	120	11
Glyma.08G170200	130	2	14	2	15	13	5	17	0	100	3	9	5	13	2	3	25	1
Glyma.08G170300	51	0	11	5	5	2	3	12	2	61	2	7	0	8	4	0	3	0
Glyma.08G170400	325	2	36	28	53	34	8	35	3	271	7	26	15	49	15	3	28	2
Glyma.08G171200	134	1	20	6	17	4	1	23	4	95	2	16	2	21	3	0	16	1
Glyma.08G171100	667	14	85	35	102	46	23	106	7	517	8	49	15	82	13	2	71	6
Glyma.08G171400	64	1	4	2	1	1	1	4	1	93	1	4	0	3	3	1	4	1
Glyma.08G171500	323	5	57	16	45	36	11	48	1	279	3	49	3	43	15	2	57	5
Glyma.08G171600	45	0	6	3	4	2	1	3	1	35	1	7	0	1	2	1	3	1
Glyma.08G171700	416	1	60	20	43	21	7	91	4	403	8	46	11	53	8	3	63	5
Glyma.08G171800	357	10	53	22	37	16	10	66	4	314	2	47	3	38	12	6	57	4
Glyma.08G171900	44	0	6	4	3	4	2	11	0	37	0	3	2	6	0	1	9	2
Glyma.08G172000	276	6	55	15	37	25	8	41	3	263	3	42	6	46	11	5	34	0
Glyma.08G172100	160	3	17	5	18	8	5	29	2	132	0	8	3	22	5	0	33	2
Glyma.08G172200	36	0	3	0	7	2	0	4	0	35	0	3	0	4	1	0	4	0
Glyma.08G172300	71	0	3	1	3	2	0	2	0	74	1	3	0	3	0	0	2	0
Glyma.08G172600	159	1	35	12	34	4	6	26	3	139	3	24	4	14	4	0	28	3
Glyma.08G172900	69	0	14	7	17	6	1	17	1	67	1	8	0	16	0	0	9	1
Glyma.08G173000	63	1	12	5	6	3	1	17	1	36	0	5	1	8	1	3	10	2
Glyma.08G173100	450	8	26	15	36	11	10	45	3	350	7	18	10	39	6	7	45	2
Glyma.08G173200	117	2	15	9	13	9	2	13	3	71	1	14	3	16	2	0	11	2
Glyma.08G173300	90	2	18	6	12	9	1	13	0	73	1	19	6	17	4	1	13	0
Glyma.08G173400	431	1	17	6	12	12	3	15	3	438	0	14	4	15	7	2	16	0
Glyma.08G173500	578	1	82	21	64	35	18	85	4	432	4	82	9	74	18	6	81	2
Glyma.08G173600	127	0	21	4	14	5	6	17	2	105	1	21	2	17	5	2	20	0
Glyma.08G173700	60	0	5	3	2	8	3	20	0	51	1	5	1	3	7	0	9	0
Glyma.08G173800	440	2	17	1	17	21	9	27	3	420	0	12	2	15	12	0	16	0
Glyma.08G173900	242	0	52	17	29	16	5	33	1	195	6	20	8	30	7	0	43	1
Glyma.08G174000	194	2	26	8	27	14	6	30	1	159	1	16	2	19	3	2	14	1
Glyma.08G174100	197	2	19	8	22	16	11	33	5	163	0	21	4	32	9	2	26	7
Glyma.08G174200	52	0	4	5	9	3	0	8	1	42	1	4	2	10	1	0	8	1
Glyma.08G174300	106	2	69	67	15	8	3	23	2	85	0	75	62	16	3	0	12	0
Glyma.08G174800	121	0	15	9	11	6	4	15	1	113	1	18	0	12	4	1	13	1
Glyma.08G175200	83	3	4	1	6	7	1	4	0	93	0	3	1	3	2	1	8	1
Glyma.08G175500	359	5	32	10	39	25	11	44	4	318	11	23	6	25	15	4	52	5
Glyma.08G175600	19	0	3	0	8	0	0	5	1	0	0	0	0	0	0	0	0	0
Glyma.08G175700	78	0	19	6	8	7	3	10	0	51	0	13	7	9	0	0	9	0
Glyma.08G175900	476	2	100	25	65	25	5	70	0	356	3	70	12	68	16	4	53	4
Glyma.08G176000	42	0	6	0	2	4	2	7	1	27	1	5	0	3	1	0	10	1
Glyma.08G176100	98	1	9	6	7	9	3	20	1	81	1	5	4	9	5	2	22	1
Glyma.08G176300	30	1	4	2	2	1	1	6	0	0	0	0	0	0	0	0	0	0
Glyma.08G176400	104	6	25	2	17	5	1	28	2	80	2	25	2	11	2	4	13	1
Glyma.08G176700	35	1	1	1	3	0	2	4	2	34	0	3	0	4	2	1	4	1
Glyma.08G176900	304	5	77	28	32	15	7	40	2	268	6	45	6	52	6	4	43	1
Glyma.08G177100	45	0	10	5	14	5	2	11	0	51	1	9	6	18	0	0	9	0
Glyma.08G177200	268	5	40	37	33	13	3	36	4	229	3	29	26	29	9	3	27	2
Glyma.08G177300	218	1	17	2	10	16	3	20	1	192	0	7	1	5	11	3	25	0
Glyma.08G177400	47	0	5	1	8	2	1	7	0	45	3	6	0	7	1	0	3	0
Glyma.08G177600	441	6	34	19	36	27	4	74	12	364	3	30	10	35	12	3	54	6
Glyma.08G177900	184	2	33	14	32	11	5	37	2	213	3	26	6	31	4	0	40	5
Glyma.08G178100	83	0	9	0	8	3	1	10	1	67	1	2	2	11	3	0	5	0
Glyma.08G178400	118	3	29	6	15	9	5	36	1	115	4	13	2	19	6	1	19	3
Glyma.08G178600	55	3	11	1	6	4	1	10	1	55	1	17	1	5	0	0	8	7
Glyma.08G178700	78	0	13	2	6	4	1	11	0	85	1	13	0	5	1	3	9	5
Glyma.08G178800	102	0	14	2	8	4	4	12	0	107	1	6	1	9	1	1	6	0
Glyma.08G178900	396	4	46	12	48	22	7	60	6	343	3	27	6	43	15	3	60	8
Glyma.08G179000	39	0	7	1	8	2	5	14	0	39	0	4	4	4	0	0	5	0
Glyma.08G179100	158	1	14	6	14	7	4	25	1	128	1	6	0	18	4	2	24	0
Glyma.08G179200	285	6	32	9	36	14	7	44	3	219	3	30	6	32	3	2	31	1
Glyma.08G179300	24	0	7	1	3	2	1	3	3	0	0	0	0	0	0	0	0	0
Glyma.08G179400	183	5	39	8	23	15	10	44	2	156	0	35	1	12	14	4	24	1
Glyma.08G179900	45	0	12	3	5	2	1	8	1	36	0	9	2	1	0	0	5	1
Glyma.08G180700	64	2	11	2	5	7	1	15	0	43	1	9	2	7	1	0	12	0
Glyma.08G180800	249	3	16	9	25	13	7	30	5	214	4	21	3	21	5	2	33	3
Glyma.08G181000	90	1	9	5	11	5	1	12	0	65	0	7	5	19	5	0	2	0
Glyma.08G181200	369	9	48	12	60	18	7	61	3	284	3	18	8	61	14	3	54	3
Glyma.08G181300	416	5	65	22	57	19	14	56	3	378	7	39	12	44	19	3	58	7
Glyma.08G181700	220	2	33	10	25	19	5	45	3	199	1	22	5	28	4	2	27	5
Glyma.08G181800	164	1	22	5	12	17	11	27	2	145	0	9	2	17	10	1	30	1
Glyma.08G182100	247	1	7	3	12	6	3	15	0	204	2	3	2	5	0	0	5	1
Glyma.08G182200	637	5	56	18	45	39	18	89	6	599	0	35	5	45	17	3	80	3
Glyma.08G182300	1419	10	55	20	42	51	23	106	4	1247	4	32	11	44	9	8	67	2
Glyma.08G182700	192	2	21	15	18	128	13	180	0	163	1	7	5	15	106	3	152	0
Glyma.08G183000	87	0	6	3	3	25	3	80	3	79	0	1	3	4	18	5	51	5
Glyma.08G183100	288	6	26	14	21	19	5	51	5	210	4	10	2	15	10	0	55	9
Glyma.08G183400	65	1	10	3	7	3	0	10	0	50	0	7	2	9	1	1	13	0
Glyma.08G183600	153	5	11	9	14	19	2	61	13	152	2	5	3	12	19	4	51	7
Glyma.08G183900	180	3	27	9	19	16	7	39	1	124	0	18	4	13	3	3	23	4
Glyma.08G184100	1169	12	203	52	188	55	33	185	4	908	10	146	24	169	22	11	173	6
Glyma.08G184200	105	0	20	14	19	2	2	10	1	79	0	29	6	22	0	1	14	1
Glyma.08G184300	223	1	25	9	13	7	6	30	1	171	0	28	7	23	7	0	27	0
Glyma.08G184400	130	1	18	7	13	3	4	19	4	80	0	6	4	25	4	2	21	1
Glyma.08G184600	54	0	10	2	8	2	3	18	3	68	0	5	0	6	0	0	9	1
Glyma.08G184700	108	0	30	5	18	8	7	27	1	111	2	13	7	15	3	1	32	1
Glyma.08G184900	134	1	12	3	6	9	2	8	1	97	1	10	1	12	4	2	12	3
Glyma.08G185100	50	4	4	3	3	4	2	11	6	38	5	13	3	5	1	3	6	6
Glyma.08G185300	127	1	22	4	19	5	1	23	1	96	2	15	1	10	2	1	23	0
Glyma.08G185500	89	0	13	1	13	9	1	14	2	70	4	7	2	12	2	1	8	2
Glyma.08G185700	310	4	29	9	22	12	10	44	4	273	3	24	9	37	18	3	54	3
Glyma.08G186200	2435	51	238	73	198	185	65	444	43	2107	32	152	36	176	78	35	417	34
Glyma.08G186400	78	1	5	3	12	4	20	31	5	73	2	1	1	9	5	17	29	1
Glyma.08G186500	144	2	11	1	15	13	7	44	3	113	1	2	2	17	6	2	56	4
Glyma.08G186600	82	2	18	7	15	8	1	21	1	73	0	8	4	17	4	1	17	1
Glyma.08G186800	255	1	30	3	25	18	8	37	3	199	4	22	7	34	6	1	37	2
Glyma.08G186900	61	0	8	1	8	8	0	10	1	44	1	1	2	5	4	1	7	0
Glyma.08G187000	129	1	12	6	20	6	4	26	5	118	1	7	2	6	5	1	30	2
Glyma.08G187100	164	1	18	11	14	12	4	19	6	130	2	12	3	25	7	1	22	2
Glyma.08G187400	211	4	12	6	15	20	8	40	5	185	4	13	0	17	4	3	34	3
Glyma.08G187500	446	6	61	17	67	17	9	74	5	408	6	52	11	68	8	3	71	2
Glyma.08G187800	170	0	23	14	25	12	6	28	1	166	5	21	2	26	6	3	21	3
Glyma.08G188000	641	15	43	40	39	52	12	95	19	621	11	45	25	58	14	12	86	9
Glyma.08G188100	112	2	35	15	20	3	2	12	0	76	2	32	3	24	5	0	9	1
Glyma.08G188200	113	3	12	6	17	8	4	19	2	99	1	9	2	9	6	1	13	4
Glyma.08G188300	131	12	12	6	12	14	9	30	0	108	11	15	1	16	16	2	33	1
Glyma.08G188400	171	4	20	9	23	13	8	25	3	157	5	22	5	22	5	0	26	4
Glyma.08G188700	97	1	32	7	18	5	2	11	2	89	0	14	6	14	0	0	16	0
Glyma.08G188900	199	5	22	11	13	19	1	18	3	150	1	14	3	23	11	1	29	1
Glyma.08G189200	62	0	4	1	4	3	2	4	1	48	1	1	0	5	0	2	4	0
Glyma.08G189900	115	1	17	11	19	10	5	24	0	110	1	18	6	25	4	6	21	2
Glyma.08G190000	38	0	8	2	12	2	1	10	1	0	0	0	0	0	0	0	0	0
Glyma.08G190100	100	0	10	3	7	7	3	17	1	69	1	13	0	9	2	2	12	1
Glyma.08G190300	229	5	25	3	25	13	10	45	3	170	1	16	10	31	7	5	33	2
Glyma.08G190400	131	1	18	6	18	5	3	25	3	120	5	22	8	16	3	3	27	2
Glyma.08G190500	182	4	40	17	28	11	6	31	1	173	0	33	19	28	2	1	34	1
Glyma.08G190800	184	1	18	3	17	11	4	22	6	140	1	23	5	20	7	2	19	3
Glyma.08G191600	55	1	6	2	8	6	3	4	0	37	0	7	1	4	1	0	3	0
Glyma.08G191700	31	1	5	3	4	0	0	7	0	29	0	4	0	2	0	0	2	0
Glyma.08G192100	116	4	14	2	11	5	5	29	0	96	3	17	2	10	6	2	27	3
Glyma.08G192300	47	0	2	6	19	1	1	6	0	51	1	2	2	12	0	0	4	0
Glyma.08G192400	39	3	12	5	8	1	0	8	1	38	1	9	5	9	1	1	6	0
Glyma.08G192500	48	0	12	3	5	1	1	4	1	29	0	8	0	4	0	1	8	0
Glyma.08G192700	61	0	16	1	10	0	1	11	0	49	1	12	0	5	2	0	3	0
Glyma.08G193000	22	1	1	1	5	0	2	16	2	24	0	1	1	3	2	1	22	0
Glyma.08G193200	193	3	37	16	27	12	11	31	1	200	4	26	5	25	8	11	51	2
Glyma.08G193400	425	6	68	22	58	21	16	72	11	348	5	44	6	50	16	5	71	7
Glyma.08G193500	247	2	113	13	37	14	7	46	1	175	1	105	2	36	10	4	26	2
Glyma.08G193700	79	1	14	2	13	4	5	24	1	81	1	3	0	9	2	1	20	2
Glyma.08G193800	84	1	14	2	11	5	2	12	0	68	2	10	1	11	3	0	11	3
Glyma.08G193900	256	9	13	5	30	17	7	69	1	214	13	9	2	23	6	2	57	0
Glyma.08G194000	108	1	39	4	16	10	3	16	2	116	1	31	4	16	1	1	16	1
Glyma.08G194300	57	0	15	5	6	2	7	8	1	55	0	11	0	10	4	2	7	0
Glyma.08G194400	33	1	7	1	9	1	3	3	0	30	0	10	0	6	2	0	4	0
Glyma.08G194500	70	1	23	6	16	1	4	7	0	51	0	21	1	12	2	1	3	0
Glyma.08G194600	440	10	19	15	76	28	8	73	2	345	8	8	3	71	9	4	50	2
Glyma.08G195200	592	8	79	18	97	31	22	84	6	532	11	48	10	70	11	6	68	14
Glyma.08G195600	40	1	5	1	5	10	1	6	0	37	0	0	2	6	3	0	12	0
Glyma.08G195900	321	5	41	12	46	22	10	60	8	247	4	31	7	39	9	3	42	0
Glyma.08G196100	251	4	35	13	26	15	12	52	7	254	4	22	5	34	5	4	43	2
Glyma.08G196200	261	3	40	11	46	12	14	55	2	214	2	42	7	48	11	5	55	2
Glyma.08G196300	220	2	41	13	44	18	4	45	4	205	5	37	7	34	6	3	31	0
Glyma.08G196400	90	1	14	5	22	5	6	20	1	77	2	22	5	15	2	0	19	2
Glyma.08G196500	457	3	91	16	44	31	13	84	3	376	2	64	6	48	9	3	61	3
Glyma.08G196700	198	1	20	6	22	8	4	42	2	193	1	15	5	16	8	3	39	2
Glyma.08G196800	61	0	8	2	6	3	5	18	1	42	0	2	1	3	2	2	16	1
Glyma.08G197000	187	2	35	17	144	12	10	27	1	132	0	30	9	119	3	6	18	1
Glyma.08G197100	34	0	7	2	4	0	2	1	4	0	0	0	0	0	0	0	0	0
Glyma.08G197300	85	3	9	3	18	6	0	13	4	79	4	15	2	21	0	1	7	0
Glyma.08G197500	90	0	5	3	32	5	1	24	0	98	0	5	0	27	1	1	14	0
Glyma.08G199200	184	3	29	4	20	10	1	26	0	158	3	11	4	22	5	1	24	2
Glyma.08G199300	1203	18	53	22	44	44	16	160	8	1170	14	27	9	45	20	10	147	4
Glyma.08G199700	228	5	50	14	37	14	1	30	2	221	7	38	2	51	6	1	40	1
Glyma.08G199800	46	1	5	1	15	3	1	8	0	35	0	2	1	10	1	4	4	0
Glyma.08G199900	215	4	30	5	25	15	7	29	1	162	1	20	6	27	9	2	34	2
Glyma.08G200100	348	15	28	15	27	18	8	72	2	272	4	15	2	24	6	4	45	6
Glyma.08G200200	246	2	20	18	42	10	7	32	1	189	1	11	9	52	5	0	19	1
Glyma.08G200500	1748	24	118	48	93	84	34	206	18	1432	16	61	14	100	28	14	165	17
Glyma.08G200800	44	0	3	1	6	2	0	14	1	34	0	1	1	2	1	0	15	0
Glyma.08G200900	26	0	2	2	7	1	0	8	0	0	0	0	0	0	0	0	0	0
Glyma.08G201000	240	2	23	6	23	7	9	42	0	192	1	21	3	25	3	1	30	3
Glyma.08G201300	1712	24	109	53	300	96	51	261	12	1423	29	63	24	308	29	16	242	17
Glyma.08G201500	77	0	16	8	11	8	3	15	1	48	1	8	1	12	2	0	8	0
Glyma.08G201600	169	1	22	4	22	7	4	25	0	111	1	13	4	30	1	0	19	0
Glyma.08G201900	222	3	31	5	22	18	10	58	4	176	2	16	12	22	10	3	35	4
Glyma.08G202000	173	4	20	7	24	15	3	42	4	150	1	14	7	29	5	2	32	1
Glyma.08G202700	70	1	11	2	6	3	2	10	0	57	1	6	1	10	2	0	9	0
Glyma.08G202800	167	9	5	4	33	8	1	18	1	136	6	10	6	30	1	1	14	0
Glyma.08G202900	217	6	21	11	27	13	8	39	4	206	3	13	7	25	8	5	27	3
Glyma.08G203200	41	0	6	1	4	0	2	9	0	29	0	5	0	2	1	0	7	0
Glyma.08G203400	30	0	3	4	5	1	0	9	1	31	3	1	1	8	3	0	4	0
Glyma.08G203600	24	1	4	4	5	9	2	38	0	28	2	0	3	5	2	0	24	1
Glyma.08G203800	28	0	5	2	2	3	0	11	17	0	0	0	0	0	0	0	0	0
Glyma.08G204200	59	1	15	4	9	2	1	8	0	57	1	8	2	11	1	2	4	1
Glyma.08G204300	568	5	111	16	112	44	17	82	2	470	8	90	9	114	26	5	47	8
Glyma.08G204400	118	1	26	3	19	4	8	18	1	99	1	20	2	13	1	0	6	0
Glyma.08G204500	28	0	22	1	11	2	0	4	0	28	0	18	1	6	0	0	2	0
Glyma.08G204600	42	0	6	4	8	2	0	7	0	29	0	4	1	7	0	0	5	0
Glyma.08G205200	52	0	6	2	8	3	4	8	0	53	1	3	1	4	1	0	5	2
Glyma.08G205300	47	0	9	3	5	1	0	6	0	30	0	7	1	5	1	0	2	1
Glyma.08G205400	333	6	39	15	48	14	9	55	5	251	2	36	5	27	3	0	42	5
Glyma.08G205500	803	5	120	41	85	45	23	87	6	629	8	89	14	71	17	8	87	8
Glyma.08G205700	61	0	17	8	4	5	3	16	0	42	0	14	8	5	0	0	9	0
Glyma.08G205900	37	0	5	0	7	2	1	7	1	33	1	2	0	3	0	0	8	2
Glyma.08G206000	607	3	122	21	76	42	27	89	8	525	1	78	13	111	15	7	64	5
Glyma.08G206900	225	3	28	9	28	15	5	23	0	182	3	28	4	29	9	3	24	6
Glyma.08G207000	43	1	9	0	8	2	1	9	0	30	1	9	4	6	1	0	9	1
Glyma.08G207200	46	0	7	4	7	4	1	10	0	39	1	5	2	8	2	0	3	0
Glyma.08G207300	356	4	50	20	44	26	9	62	4	279	3	38	6	44	11	7	53	7
Glyma.08G207400	147	1	26	6	27	6	4	23	1	113	5	13	4	19	2	1	18	3
Glyma.08G207700	149	1	25	2	15	6	3	14	0	119	0	5	1	15	1	1	11	1
Glyma.08G207800	822	11	110	48	127	59	14	126	9	644	8	99	17	101	33	7	108	14
Glyma.08G208000	112	2	9	22	16	8	2	10	0	86	1	12	10	27	0	2	11	1
Glyma.08G208100	117	0	18	9	11	6	3	18	0	100	0	9	4	13	3	0	9	0
Glyma.08G208700	87	1	14	2	15	5	4	11	1	64	2	7	4	16	2	1	10	1
Glyma.08G209100	105	1	8	1	15	3	4	16	0	94	0	5	3	23	0	2	15	0
Glyma.08G209200	27	0	11	5	8	1	1	8	0	0	0	0	0	0	0	0	0	0
Glyma.08G209300	45	0	5	0	6	1	0	4	2	37	0	4	0	8	0	0	6	0
Glyma.08G209500	78	0	22	4	14	1	2	16	0	64	1	6	1	10	3	0	13	4
Glyma.08G209600	38	0	1	0	4	4	0	5	1	38	1	2	0	4	0	0	8	1
Glyma.08G209700	245	1	53	19	33	15	17	41	2	243	4	33	3	29	8	3	28	6
Glyma.08G209900	63	1	8	2	6	3	2	13	1	58	1	12	0	6	1	0	6	0
Glyma.08G210000	141	1	27	11	19	4	4	33	2	139	1	16	3	34	4	3	23	2
Glyma.08G210500	86	1	7	3	9	9	5	17	0	81	1	5	1	10	4	0	15	0
Glyma.08G210800	54	0	3	3	1	5	1	8	0	51	0	2	2	1	4	0	5	0
Glyma.08G210900	36	1	1	0	6	0	0	7	0	33	0	2	1	2	1	0	6	0
Glyma.08G211100	62	0	2	0	3	4	0	9	0	71	2	1	0	2	2	0	10	1
Glyma.08G211200	196	1	31	15	20	8	5	28	0	153	3	20	6	23	8	2	14	0
Glyma.08G211300	172	4	19	7	23	10	6	23	2	136	2	13	4	18	4	3	16	3
Glyma.08G211400	383	6	45	20	49	30	17	65	3	350	2	49	10	38	9	4	64	5
Glyma.08G211500	101	4	9	2	10	5	3	16	1	90	0	2	2	5	3	0	11	0
Glyma.08G211700	831	5	61	12	61	37	19	88	12	672	6	23	6	39	9	8	68	13
Glyma.08G211900	192	4	11	11	12	11	4	24	1	144	2	14	6	11	10	0	13	1
Glyma.08G212200	39	1	10	3	8	3	0	9	0	50	2	6	2	8	1	0	3	0
Glyma.08G212900	179	0	12	5	12	67	7	26	1	147	1	4	0	6	50	11	22	0
Glyma.08G213100	72	0	17	4	26	3	1	10	0	72	4	14	2	14	2	1	4	0
Glyma.08G213300	190	3	14	9	19	11	9	36	0	174	5	21	4	25	4	1	29	1
Glyma.08G213401	196	5	32	10	38	7	6	39	2	171	1	20	2	24	4	1	25	3
Glyma.08G213500	67	0	11	3	5	3	4	9	0	50	0	6	2	11	2	1	5	1
Glyma.08G213600	131	1	9	7	6	11	3	22	0	99	6	18	1	9	5	1	14	0
Glyma.08G214000	142	5	10	7	35	3	2	11	1	99	6	6	1	41	2	1	8	3
Glyma.08G214300	111	4	31	7	10	2	4	9	1	101	0	18	1	12	2	2	12	0
Glyma.08G214400	53	0	12	3	10	4	4	10	1	28	0	7	1	8	0	1	3	0
Glyma.08G214500	160	4	32	8	22	15	8	53	11	136	2	9	2	17	6	2	44	4
Glyma.08G214600	301	8	34	18	38	16	7	61	3	260	4	24	5	24	7	4	34	3
Glyma.08G214900	1359	16	938	93	468	77	46	164	9	1149	12	842	65	479	15	13	145	15
Glyma.08G215300	32	1	3	3	2	1	0	8	0	0	0	0	0	0	0	0	0	0
Glyma.08G215500	24	2	2	5	10	1	1	11	1	34	2	1	4	14	0	0	7	1
Glyma.08G216700	168	1	16	3	16	7	1	29	2	146	1	18	0	21	6	2	18	7
Glyma.08G216900	99	0	13	8	20	5	3	20	3	84	1	6	5	25	2	1	13	0
Glyma.08G217200	308	4	36	7	34	29	6	44	6	277	3	19	5	31	8	1	33	7
Glyma.08G217500	186	3	45	12	34	13	7	45	2	150	2	58	9	41	4	3	45	2
Glyma.08G217600	130	3	17	4	12	9	4	25	3	121	1	15	1	13	0	2	21	2
Glyma.08G217700	558	6	85	28	53	40	14	77	11	429	5	63	11	64	14	3	49	4
Glyma.08G217900	22	1	7	2	3	4	0	4	0	29	1	4	1	4	0	1	5	0
Glyma.08G218400	184	2	13	4	10	12	3	37	3	166	3	6	2	8	5	3	31	0
Glyma.08G218500	50	0	10	1	7	5	4	4	0	48	0	5	2	6	3	0	8	0
Glyma.08G218600	1004	13	54	33	115	117	37	250	15	906	13	28	5	106	76	20	218	10
Glyma.08G218700	110	1	14	8	20	3	1	14	0	70	1	9	1	24	2	1	14	0
Glyma.08G218900	104	1	6	6	18	6	7	20	0	75	1	7	1	6	2	0	15	1
Glyma.08G219100	51	0	10	13	5	1	1	8	0	43	1	10	2	11	0	0	7	0
Glyma.08G219200	81	1	8	5	14	5	3	13	1	76	1	16	2	11	1	4	5	1
Glyma.08G219700	28	0	9	1	2	1	2	4	1	0	0	0	0	0	0	0	0	0
Glyma.08G219900	76	1	5	3	9	8	1	13	0	64	0	0	0	11	2	2	10	0
Glyma.08G220000	1831	17	129	61	161	78	29	241	15	1576	17	57	20	187	27	7	192	15
Glyma.08G220100	811	13	76	29	108	32	15	127	6	671	13	63	13	80	16	9	117	11
Glyma.08G220200	378	6	14	11	26	28	12	56	11	328	7	20	7	28	20	0	38	13
Glyma.08G220400	361	5	26	13	36	18	11	59	11	320	11	20	3	36	11	3	62	11
Glyma.08G220500	1758	22	120	30	92	119	56	388	15	1412	21	40	8	99	72	21	263	16
Glyma.08G220800	65	11	2	2	2	3	2	9	0	40	13	2	1	6	3	1	7	0
Glyma.08G221000	93	4	14	3	11	4	2	18	1	47	0	19	1	7	2	3	13	1
Glyma.08G221200	132	2	18	5	18	5	4	19	1	124	1	15	1	21	5	3	19	0
Glyma.08G221400	453	8	36	17	69	28	9	56	4	334	4	29	6	55	12	2	60	9
Glyma.08G221700	88	5	16	1	11	4	6	18	1	73	1	12	2	13	2	0	10	1
Glyma.08G221800	127	6	16	4	21	2	6	20	2	113	1	14	7	18	8	1	21	0
Glyma.08G221900	247	6	28	6	35	22	2	32	0	208	2	27	7	31	8	4	32	4
Glyma.08G222000	175	4	27	6	40	7	6	38	2	191	2	18	5	19	6	2	30	0
Glyma.08G222100	621	7	86	31	58	35	23	81	9	426	5	67	11	54	10	5	83	3
Glyma.08G222200	164	14	19	9	11	4	6	28	1	120	17	23	10	23	3	1	26	2
Glyma.08G222300	320	5	25	13	29	20	7	53	4	231	7	14	4	31	5	3	37	4
Glyma.08G222400	235	5	32	8	30	13	5	43	1	211	6	33	7	23	8	4	29	2
Glyma.08G222600	57	1	12	4	7	3	1	9	1	38	3	6	2	6	1	0	6	0
Glyma.08G222900	195	2	26	10	23	11	7	42	1	155	0	19	9	18	5	4	22	1
Glyma.08G223000	57	2	10	3	8	3	4	12	1	51	2	7	0	10	1	4	8	0
Glyma.08G223100	140	2	22	2	20	9	9	30	4	105	1	10	2	16	3	2	23	1
Glyma.08G223300	34	0	1	8	9	1	2	16	3	35	0	1	1	6	0	0	17	1
Glyma.08G223400	72	1	11	3	11	6	0	6	1	53	1	7	1	9	0	0	9	1
Glyma.08G223800	292	0	52	12	41	16	13	45	4	223	4	35	7	40	8	4	25	3
Glyma.08G223900	36	0	13	4	8	1	1	3	0	28	1	5	2	8	1	2	1	1
Glyma.08G224000	132	2	11	11	17	11	4	17	5	112	3	12	2	17	1	0	13	4
Glyma.08G224200	263	2	37	9	28	18	10	41	3	188	3	26	8	26	4	2	30	2
Glyma.08G224300	234	2	34	12	19	14	7	42	5	199	0	19	3	31	5	3	35	3
Glyma.08G224400	323	3	43	12	42	28	14	42	5	251	1	29	3	36	7	3	24	2
Glyma.08G224500	590	8	65	19	56	30	18	88	2	462	2	46	13	55	12	10	65	3
Glyma.08G224800	417	3	30	36	115	11	11	52	7	343	2	16	20	76	4	5	27	0
Glyma.08G225400	143	1	16	4	33	9	4	32	2	139	3	14	2	29	2	3	17	5
Glyma.08G225500	226	2	43	12	36	14	7	29	4	192	1	28	7	32	6	2	37	7
Glyma.08G225950	47	1	8	3	8	2	0	9	2	45	0	4	1	3	1	1	7	2
Glyma.08G226000	221	4	29	6	29	19	12	49	2	222	2	25	7	35	11	4	35	1
Glyma.08G226100	224	0	24	6	27	12	9	29	5	222	4	12	4	24	8	1	38	4
Glyma.08G226400	30	0	4	2	7	4	2	5	0	0	0	0	0	0	0	0	0	0
Glyma.08G226600	207	0	12	5	16	16	9	41	6	186	0	7	2	15	11	4	33	3
Glyma.08G226700	617	6	63	16	66	23	21	98	15	518	9	48	15	69	15	5	78	9
Glyma.08G227000	40	0	9	1	7	2	0	10	3	25	2	5	0	3	2	2	5	2
Glyma.08G227300	157	5	29	10	27	11	4	18	0	122	3	15	4	19	3	0	21	3
Glyma.08G227400	445	3	131	23	93	29	18	63	2	295	3	110	7	87	9	2	44	2
