RNA_rt3:Cortex	RNA_rt3:Endodermis	RNA_rt3:Epidermis	RNA_rt3:Pericycle	RNA_rt3:Phloem	RNA_rt3:Procambium	RNA_rt3:Root_hair	RNA_rt3:Xylem	RNA_rt4:Cortex	RNA_rt4:Endodermis	RNA_rt4:Epidermis	RNA_rt4:Pericycle	RNA_rt4:Phloem	RNA_rt4:Procambium	RNA_rt4:Root_hair	RNA_rt4:Xylem
Glyma.13G267100	89	2	95	1	1	14	9	3	164	6	163	3	5	31	14	4
Glyma.13G268000	62	6	26	3	5	23	1	0	108	22	55	6	6	50	4	8
Glyma.13G268300	21	0	15	3	0	11	1	1	34	7	24	2	3	20	3	0
Glyma.13G268402	88	23	71	9	1	17	5	4	185	57	134	31	2	51	11	5
Glyma.13G268600	96	19	73	16	3	31	22	9	212	19	148	18	13	94	39	13
Glyma.13G269200	36	7	20	5	0	8	2	1	80	11	40	5	6	17	7	0
Glyma.13G269600	73	14	79	16	3	24	3	4	173	32	130	15	12	64	18	4
Glyma.13G270100	149	3	103	6	2	18	12	2	515	14	264	4	9	49	29	6
Glyma.13G270500	24	5	25	4	0	9	4	1	50	13	41	9	2	27	9	2
Glyma.13G270800	103	16	60	12	4	26	27	5	186	49	101	17	27	62	49	12
Glyma.13G271100	23	5	29	5	1	13	0	0	65	5	48	9	0	36	4	1
Glyma.13G271400	22	4	19	2	1	6	0	3	55	3	26	2	1	21	4	6
Glyma.13G272000	39	6	25	1	1	18	65	2	71	15	40	6	4	31	86	4
Glyma.13G272200	66	5	26	2	1	12	3	1	71	12	46	7	1	33	6	4
Glyma.13G272800	67	6	41	4	1	25	4	3	121	27	85	16	3	48	3	6
Glyma.13G273000	11	3	7	5	6	20	0	2	13	8	7	11	3	41	4	3
Glyma.13G273300	36	2	29	6	1	10	3	0	50	16	49	11	1	39	4	1
Glyma.13G273800	25	2	17	3	1	3	6	0	51	9	39	7	4	21	12	1
Glyma.13G273900	68	22	49	8	2	36	7	3	131	43	69	31	5	116	22	6
Glyma.13G274100	63	3	23	4	11	17	20	1	90	21	27	18	15	28	36	7
Glyma.13G274500	106	19	62	14	1	40	4	1	219	43	119	28	2	92	4	2
Glyma.13G274800	41	2	35	1	2	10	2	1	77	9	58	6	7	30	5	2
Glyma.13G275100	15	7	22	2	1	5	7	0	37	17	30	5	3	19	10	1
Glyma.13G275400	133	6	83	4	2	8	2	0	196	13	143	5	1	15	4	2
Glyma.13G275500	51	1	24	1	0	3	0	0	90	9	56	3	0	9	4	2
Glyma.13G275850	29	4	8	4	1	35	5	1	59	9	17	3	1	70	6	0
Glyma.13G275900	16	0	19	0	0	5	0	0	44	8	32	4	0	14	4	0
Glyma.13G276000	34	1	33	5	1	4	2	1	75	13	59	7	4	39	8	2
Glyma.13G276100	48	3	84	2	0	6	5	2	119	8	151	9	1	23	17	4
Glyma.13G276400	20	2	25	6	0	2	1	0	56	10	44	4	0	20	6	0
Glyma.13G276500	250	34	178	23	15	57	29	4	468	70	272	38	52	174	43	16
Glyma.13G276600	72	3	50	10	0	17	9	1	120	6	91	6	5	37	23	0
Glyma.13G276700	37	7	21	4	4	11	1	0	61	11	29	6	4	34	8	1
Glyma.13G276800	40	7	19	7	0	15	0	1	65	15	38	15	1	46	4	3
Glyma.13G277000	60	2	49	1	4	5	5	0	105	6	91	4	6	16	2	2
Glyma.13G277100	54	11	73	5	1	16	9	1	138	27	123	12	1	30	10	2
Glyma.13G277200	60	8	53	1	2	19	3	2	98	15	51	10	3	43	11	7
Glyma.13G277400	38	2	37	7	1	12	4	0	81	18	49	5	2	31	8	0
Glyma.13G277700	39	10	39	3	1	23	4	1	86	13	58	13	3	35	7	3
Glyma.13G277900	19	1	18	1	1	4	1	1	21	5	36	1	3	7	3	0
Glyma.13G278100	126	31	129	12	1	51	7	1	212	58	173	25	4	108	18	5
Glyma.13G278200	26	8	22	6	0	14	2	1	67	15	41	4	1	32	2	2
Glyma.13G278500	42	8	26	1	0	9	2	1	86	13	60	8	2	30	12	6
Glyma.13G278700	32	4	21	1	0	8	0	0	56	15	34	6	0	29	13	4
Glyma.13G278800	48	8	47	3	2	9	5	0	68	16	65	9	1	25	5	2
Glyma.13G278900	29	3	20	1	2	10	0	1	60	9	34	8	2	17	8	0
Glyma.13G279000	53	11	26	8	2	18	10	1	111	17	73	18	3	39	16	3
Glyma.13G279200	200	13	190	5	18	51	10	1	379	40	328	21	53	110	44	18
Glyma.13G279300	35	6	36	2	2	8	3	0	73	13	50	8	6	33	0	1
Glyma.13G279400	86	11	73	6	0	35	6	2	150	41	114	18	6	63	13	4
Glyma.13G279900	324	18	173	4	4	45	27	1	513	40	249	20	12	89	31	10
Glyma.13G280200	99	15	47	5	7	22	10	6	174	40	106	20	20	81	21	12
Glyma.13G280300	94	8	64	5	10	28	16	17	186	26	89	23	21	91	23	32
Glyma.13G280700	87	8	76	8	1	20	2	2	136	18	93	16	3	44	7	10
Glyma.13G281300	34	3	13	3	0	5	1	0	59	7	22	8	1	13	7	3
Glyma.13G281400	132	26	76	15	7	45	18	2	284	70	140	41	16	133	36	11
Glyma.13G281800	25	1	13	2	0	4	2	1	42	3	22	1	3	7	4	1
Glyma.13G282200	13	4	3	0	0	5	26	1	42	12	25	2	9	12	22	3
Glyma.13G282300	33	6	36	2	0	5	3	3	81	16	53	5	3	26	7	2
Glyma.13G282700	82	15	69	5	0	23	1	0	153	22	101	12	8	52	16	10
Glyma.13G283500	54	5	41	6	0	12	7	3	107	18	87	9	6	41	12	6
Glyma.13G283600	262	41	103	44	115	97	193	18	411	115	159	57	148	203	217	30
Glyma.13G284100	22	7	10	2	1	10	1	0	33	10	21	2	2	25	3	0
Glyma.13G284200	66	52	105	16	8	28	15	6	165	81	164	33	6	82	33	20
Glyma.13G284800	29	1	15	3	2	5	2	0	61	6	26	14	7	7	2	0
Glyma.13G284900	100	8	77	16	10	42	4	3	202	23	133	40	16	107	11	10
Glyma.13G285300	434	11	192	8	5	20	30	1	930	30	410	18	8	77	65	8
Glyma.13G285400	139	62	36	21	13	99	31	2	267	120	72	78	38	162	40	7
Glyma.13G285500	58	37	70	8	3	44	10	1	110	96	116	26	3	88	22	3
Glyma.13G286000	64	7	48	4	0	17	19	15	108	16	85	6	12	37	29	27
Glyma.13G286400	22	3	10	8	0	36	3	0	54	20	23	8	7	64	4	3
Glyma.13G286700	34	3	27	3	4	10	9	2	65	12	42	7	8	35	16	8
Glyma.13G287000	86	8	80	11	1	26	7	2	166	32	114	22	4	49	17	6
Glyma.13G287100	37	13	36	8	1	22	4	0	67	16	68	14	1	35	12	1
Glyma.13G287200	46	4	33	4	1	14	1	1	70	18	43	7	5	26	7	3
Glyma.13G287400	17	3	15	1	0	7	0	0	21	7	19	5	1	11	3	0
Glyma.13G288200	55	14	49	15	2	16	7	0	144	46	99	20	3	57	19	11
Glyma.13G288400	72	7	84	6	3	22	6	2	160	21	147	9	6	58	15	7
Glyma.13G289300	37	8	38	5	2	9	5	2	85	10	82	7	4	18	8	1
Glyma.13G289400	164	24	280	19	5	40	25	4	336	46	410	32	6	66	24	13
Glyma.13G289600	35	3	44	0	1	4	3	0	108	7	76	2	0	7	4	2
Glyma.13G290000	39	7	39	2	1	9	3	2	71	13	44	10	3	26	4	1
Glyma.13G290400	86	13	45	17	0	42	18	2	196	47	74	31	5	86	14	10
Glyma.13G290500	22	6	22	3	0	6	2	1	35	7	26	4	1	7	6	0
Glyma.13G290900	117	8	82	3	14	26	26	10	258	31	153	21	33	58	42	24
Glyma.13G291000	13	4	24	2	0	4	1	0	37	2	34	11	2	17	2	0
Glyma.13G291300	67	6	36	1	12	18	5	3	113	20	60	10	18	46	23	11
Glyma.13G291500	29	6	24	1	3	11	1	0	66	11	43	11	7	33	7	1
Glyma.13G291600	10	7	15	0	1	8	1	3	22	19	21	3	3	9	2	1
Glyma.13G291700	92	6	44	9	4	24	31	10	161	28	92	19	4	74	24	3
Glyma.13G292200	52	17	40	6	1	15	10	0	97	26	79	15	2	41	15	1
Glyma.13G292600	26	8	44	2	0	4	5	0	57	6	72	0	0	10	5	0
Glyma.13G292700	24	3	8	1	0	5	0	2	26	1	19	1	1	8	4	0
Glyma.13G293200	140	30	150	6	6	24	105	7	313	69	267	13	4	62	208	9
Glyma.13G293400	36	4	60	3	2	2	5	0	89	17	118	6	5	13	7	3
Glyma.13G293800	16	12	8	9	0	16	0	0	33	5	4	20	1	10	1	0
Glyma.13G293900	14	2	21	3	2	3	1	1	22	4	18	6	3	4	2	1
Glyma.13G294100	9	3	15	3	1	2	1	1	24	4	21	3	1	6	3	1
Glyma.13G294200	231	46	115	38	16	54	331	15	548	133	191	79	37	161	392	14
Glyma.13G294500	33	6	23	5	1	7	3	0	60	15	47	6	6	19	7	5
Glyma.13G294700	46	3	18	2	7	2	11	6	82	4	43	3	8	10	14	7
Glyma.13G295100	125	18	108	11	1	33	10	0	178	42	178	26	5	62	15	8
Glyma.13G295500	32	6	23	3	4	9	4	4	69	7	26	2	9	31	4	22
Glyma.13G295600	53	14	61	8	0	14	3	0	120	43	102	10	5	47	7	1
Glyma.13G296400	87	6	113	3	1	15	27	3	142	12	197	12	1	52	67	0
Glyma.13G296800	27	2	7	2	2	5	0	1	27	9	11	2	1	13	4	1
Glyma.13G296900	260	54	171	20	3	78	19	2	479	111	248	44	14	155	24	10
Glyma.13G297200	62	8	27	6	1	16	5	2	131	11	57	7	2	46	2	0
Glyma.13G297400	58	11	69	15	10	32	42	5	120	21	140	14	20	72	61	1
Glyma.13G297500	20	4	13	0	0	5	1	2	25	6	16	4	4	15	3	0
Glyma.13G297700	106	27	48	18	5	24	22	1	174	35	90	31	10	54	28	4
Glyma.13G298000	59	9	66	5	1	12	6	0	98	18	101	6	7	19	8	3
Glyma.13G298300	16	4	17	1	0	4	2	0	32	6	25	2	4	10	3	1
Glyma.13G298600	12	3	16	0	0	4	6	1	26	2	26	2	1	12	19	0
Glyma.13G299300	145	12	74	12	2	21	10	2	257	32	146	25	4	48	10	5
Glyma.13G299500	19	0	7	2	1	7	4	1	33	4	12	4	3	9	7	5
Glyma.13G299600	24	1	23	1	1	3	1	1	58	6	29	2	0	19	5	1
Glyma.13G300000	16	1	6	5	2	26	2	0	18	5	6	9	2	42	1	0
Glyma.13G300200	47	2	10	0	7	4	7	5	76	5	16	6	16	16	14	23
Glyma.13G300300	66	8	27	2	2	13	8	9	97	16	60	7	12	23	17	18
Glyma.13G301000	16	1	13	1	0	4	1	0	33	5	19	3	0	11	2	3
Glyma.13G301100	63	9	42	4	4	18	2	0	110	30	68	14	4	52	6	4
Glyma.13G301200	269	31	229	29	13	42	6	6	397	60	352	31	39	69	33	14
Glyma.13G302166	18	3	13	2	1	6	2	2	20	12	19	5	1	24	2	0
Glyma.13G302800	204	11	111	24	1	52	14	2	300	35	233	30	14	133	16	9
Glyma.13G303400	27	1	60	1	0	1	14	0	63	4	116	1	0	3	19	2
Glyma.13G303600	300	45	311	20	6	58	30	5	582	69	446	46	20	138	63	18
Glyma.13G303700	170	28	105	19	9	26	27	5	247	86	154	47	20	95	39	6
Glyma.13G303800	13	1	14	1	0	5	2	0	25	1	20	4	5	12	3	0
Glyma.13G304400	18	12	5	8	9	41	6	2	40	22	9	4	4	57	8	4
Glyma.13G305000	342	48	269	37	7	140	20	1	612	119	400	71	25	288	49	6
Glyma.13G306500	29	4	22	2	2	7	1	0	47	11	36	3	1	18	4	3
Glyma.13G306700	62	13	77	10	4	13	17	5	159	28	126	11	11	50	22	7
Glyma.13G307000	38	53	6	4	5	27	10	6	61	160	19	9	10	68	7	21
Glyma.13G307200	20	5	15	1	0	3	2	0	26	19	25	0	1	12	2	3
Glyma.13G307400	126	15	126	8	6	28	7	2	218	43	233	21	2	69	5	2
Glyma.13G307600	108	16	131	7	6	33	8	1	225	45	231	21	3	89	18	5
Glyma.13G308100	22	2	14	1	4	3	3	3	44	10	20	3	5	9	5	6
Glyma.13G308300	49	7	23	0	3	5	14	3	86	10	47	11	6	34	25	7
Glyma.13G308500	34	8	43	4	0	12	7	1	88	13	87	10	2	31	7	0
Glyma.13G308700	61	9	58	3	1	16	13	2	138	21	87	8	2	33	39	4
Glyma.13G308900	154	14	94	5	0	20	10	1	273	43	211	12	10	45	19	7
Glyma.13G309700	115	19	114	6	3	32	6	0	223	47	180	25	12	88	17	3
Glyma.13G309800	14	0	10	0	0	6	27	0	27	10	9	2	0	7	28	0
Glyma.13G310202	18	4	15	2	1	3	1	0	37	2	13	2	0	6	5	0
Glyma.13G310500	78	5	53	4	5	9	5	6	129	21	88	7	17	32	19	9
Glyma.13G310600	46	4	37	4	2	8	6	2	74	16	63	13	2	23	11	2
Glyma.13G310900	80	14	75	10	2	21	16	1	165	32	132	19	10	57	26	6
Glyma.13G311300	41	5	21	3	0	9	1	1	54	9	32	7	2	31	6	1
Glyma.13G311500	23	4	10	4	1	5	2	1	45	6	26	4	1	22	3	4
Glyma.13G311600	83	18	65	5	8	36	43	4	171	32	137	24	16	55	113	6
Glyma.13G311700	33	4	25	0	0	7	2	2	40	14	27	4	4	19	9	1
Glyma.13G311800	57	8	34	3	4	11	5	1	82	20	62	10	5	46	17	6
Glyma.13G312100	23	3	19	4	0	7	1	2	40	16	25	4	0	21	3	2
Glyma.13G312300	70	18	60	6	1	16	5	1	140	31	111	14	3	55	17	4
Glyma.13G312400	72	10	52	6	1	11	5	2	138	28	77	5	3	39	11	2
Glyma.13G312900	42	2	21	7	1	15	1	1	73	10	37	16	4	32	2	5
Glyma.13G313000	119	8	55	15	4	56	3	2	178	26	111	28	7	124	14	3
Glyma.13G313500	32	6	20	3	0	11	3	0	57	19	26	3	1	27	5	0
Glyma.13G313600	24	7	3	3	1	8	9	3	34	13	13	2	2	10	8	3
Glyma.13G314100	32	2	18	4	8	6	5	2	40	0	20	2	10	8	11	0
Glyma.13G314500	72	8	55	6	4	19	6	5	134	23	74	15	10	47	14	6
Glyma.13G314800	35	1	14	4	1	13	3	0	52	18	29	2	2	59	5	7
Glyma.13G314900	25	4	20	2	3	8	5	0	61	17	60	4	3	21	7	3
Glyma.13G315100	28	4	23	4	1	4	4	0	46	3	42	12	5	25	5	2
Glyma.13G316100	145	3	240	5	3	10	15	0	292	20	342	3	3	33	50	1
Glyma.13G316200	191	22	167	10	1	30	15	2	405	27	316	17	9	84	28	5
Glyma.13G316400	64	4	32	5	6	11	8	15	148	19	72	9	16	32	24	30
Glyma.13G316700	38	3	25	5	5	1	6	0	68	9	42	7	8	21	9	9
Glyma.13G317250	63	8	40	9	4	13	36	4	133	21	73	11	5	38	42	4
Glyma.13G317300	19	3	30	2	1	7	6	3	48	15	35	2	6	18	8	3
Glyma.13G317500	24	2	16	0	1	4	0	0	28	6	37	1	1	16	2	0
Glyma.13G317800	20	1	15	1	1	5	0	0	42	4	24	4	2	11	4	1
Glyma.13G318200	149	22	73	3	10	31	22	20	263	38	107	13	35	90	35	60
Glyma.13G318300	17	3	14	2	0	18	1	1	36	9	25	7	1	23	3	2
Glyma.13G318800	26	3	11	1	9	9	3	2	50	6	29	5	8	28	8	8
Glyma.13G319000	63	2	31	6	4	23	7	0	83	18	47	17	8	50	18	7
Glyma.13G319300	20	4	21	5	0	10	2	0	71	20	51	6	5	49	1	4
Glyma.13G319400	207	21	128	13	5	24	11	0	338	28	200	26	15	68	22	15
Glyma.13G319500	18	3	14	1	0	6	1	0	36	10	24	0	2	28	5	3
Glyma.13G320100	60	10	51	7	2	15	3	1	104	27	74	5	3	30	19	6
Glyma.13G320200	158	27	142	14	3	49	16	3	269	51	244	25	6	127	35	17
Glyma.13G320900	12	4	16	0	2	6	2	0	17	12	24	3	0	18	1	1
Glyma.13G321300	72	19	86	6	4	19	8	0	210	31	154	6	4	49	18	4
Glyma.13G321400	159	30	125	17	3	61	16	3	255	51	199	47	5	152	46	13
Glyma.13G321500	104	17	104	13	4	19	7	4	209	31	176	27	9	55	9	7
Glyma.13G322000	60	16	53	8	1	12	6	1	93	28	71	9	3	43	10	5
Glyma.13G322700	50	4	23	3	0	4	2	2	58	12	35	2	3	16	4	2
Glyma.13G323000	30	3	33	0	1	10	3	0	68	7	45	3	0	12	8	0
Glyma.13G323400	64	7	66	5	1	8	9	2	122	18	102	13	4	30	17	1
Glyma.13G323500	33	7	15	4	0	11	0	1	45	19	26	5	2	38	1	7
Glyma.13G323600	50	10	66	9	2	15	21	2	112	21	110	16	8	44	26	9
Glyma.13G324000	11	0	21	1	1	2	3	0	20	2	43	1	2	5	10	1
Glyma.13G324500	69	5	86	5	0	13	4	0	136	26	145	12	2	60	25	2
Glyma.13G324800	133	14	129	4	1	14	19	0	264	25	231	7	5	32	32	4
Glyma.13G325000	30	5	14	7	1	14	1	1	73	14	27	5	0	32	5	2
Glyma.13G325100	25	8	13	2	0	10	0	0	36	12	14	5	4	39	0	0
Glyma.13G325200	28	0	40	3	2	10	2	0	62	4	49	1	0	36	4	5
Glyma.13G325400	175	26	125	13	6	53	12	0	301	65	204	33	8	161	17	16
Glyma.13G325700	53	8	49	3	1	18	1	1	95	20	76	8	3	49	7	3
Glyma.13G325900	878	104	883	22	37	98	65	19	1908	247	1561	70	98	344	133	81
Glyma.13G326200	55	8	34	4	0	20	2	3	83	22	89	8	2	39	6	2
Glyma.13G326400	193	14	305	6	1	22	26	6	422	37	447	10	22	73	60	9
Glyma.13G326800	125	13	88	6	3	23	39	1	349	30	173	12	7	70	50	5
Glyma.13G326900	45	6	26	5	0	17	4	2	109	12	59	8	3	36	9	4
Glyma.13G327951	10	2	1	8	2	35	0	0	31	10	13	14	10	73	3	1
Glyma.13G328100	39	6	43	8	1	30	5	0	103	20	56	14	1	35	12	2
Glyma.13G328200	65	4	14	3	12	7	2	3	96	14	28	8	45	23	5	10
Glyma.13G329100	95	5	101	12	0	25	7	0	147	33	124	16	8	47	20	6
Glyma.13G329600	345	77	213	38	4	129	20	2	560	146	330	69	14	319	30	8
Glyma.13G329700	479	83	354	38	9	83	22	0	848	126	526	60	13	199	68	16
Glyma.13G330500	119	22	65	26	0	39	9	1	206	56	92	28	7	124	17	6
Glyma.13G330600	33	10	19	4	1	27	3	0	46	8	51	2	1	60	2	1
Glyma.13G331400	90	14	71	17	1	44	6	2	187	40	106	28	4	99	16	6
Glyma.13G332300	90	11	51	9	0	19	2	0	133	28	103	9	5	57	11	5
Glyma.13G332700	28	5	20	1	2	6	9	8	63	9	27	5	7	15	8	15
Glyma.13G333500	62	11	65	8	2	22	13	2	120	23	101	18	8	41	28	3
Glyma.13G333800	18	5	16	2	4	3	2	14	50	2	27	1	12	16	6	43
Glyma.13G334200	258	48	174	31	6	110	19	6	448	130	276	53	25	192	45	14
Glyma.13G334300	22	5	19	7	8	6	6	13	62	5	17	9	19	15	8	17
Glyma.13G334400	34	4	13	2	1	1	0	2	47	5	21	0	1	11	3	0
Glyma.13G334700	27	5	31	4	0	7	4	0	69	13	51	9	3	21	5	2
Glyma.13G334800	53	4	30	3	3	14	4	5	88	18	62	6	6	25	16	2
Glyma.13G335000	34	8	19	3	0	8	3	0	61	11	30	11	2	19	2	1
Glyma.13G335700	46	3	42	6	0	7	4	2	117	16	78	7	4	34	6	1
Glyma.13G336100	64	8	43	3	5	13	1	3	118	11	60	7	12	26	14	7
Glyma.13G336200	75	9	45	6	3	22	18	10	172	19	83	10	15	42	27	21
Glyma.13G336300	12	4	9	2	2	13	3	2	38	8	17	11	5	24	4	1
Glyma.13G337400	29	7	44	4	1	7	11	0	93	23	69	8	4	32	29	1
Glyma.13G337600	101	18	77	22	5	52	5	1	205	54	134	31	18	125	14	5
Glyma.13G337700	19	5	22	3	1	7	2	1	42	8	33	8	1	14	5	1
Glyma.13G338400	92	7	53	6	8	10	23	1	165	14	95	7	23	23	33	3
Glyma.13G339000	41	4	17	2	1	10	1	0	57	10	41	7	4	29	12	4
Glyma.13G339200	39	9	29	7	1	18	6	1	80	18	62	5	6	41	12	0
Glyma.13G339300	25	2	16	1	4	1	3	4	45	15	24	1	6	9	4	6
Glyma.13G339500	49	8	90	13	3	16	6	0	100	14	148	15	3	37	13	4
Glyma.13G339800	8	1	9	17	4	15	2	0	19	7	10	27	8	38	8	2
Glyma.13G340200	20	2	13	2	4	9	1	1	40	12	21	5	2	15	3	1
Glyma.13G340300	348	45	214	31	8	92	32	1	629	109	365	97	26	209	43	20
Glyma.13G340700	18	2	17	6	0	11	3	1	45	7	33	4	1	12	7	1
Glyma.13G340900	105	16	62	8	1	21	7	1	186	36	98	15	4	52	11	4
Glyma.13G341100	104	10	17	9	1	22	7	0	225	33	41	17	4	48	13	5
Glyma.13G341200	16	3	7	5	0	2	1	0	32	7	15	4	1	16	0	4
Glyma.13G341600	13	7	11	3	1	8	1	0	35	11	19	8	0	11	5	0
Glyma.13G341700	18	3	17	6	1	12	0	0	45	7	27	6	3	17	11	2
Glyma.13G341900	50	7	84	4	2	11	4	1	96	15	112	7	0	37	20	0
Glyma.13G342400	79	11	50	7	4	27	8	0	151	29	103	17	8	58	5	0
Glyma.13G342500	26	2	16	4	3	11	1	1	48	9	23	8	5	17	4	0
Glyma.13G342800	17	4	7	2	0	5	0	2	22	5	15	6	0	13	4	3
Glyma.13G342900	50	11	43	6	1	20	1	0	80	16	61	9	2	43	9	3
Glyma.13G343300	45	8	37	4	4	12	7	1	114	16	63	10	7	41	7	7
Glyma.13G343500	38	13	22	3	1	14	6	2	58	27	46	7	1	41	9	0
Glyma.13G343600	55	18	56	9	4	40	4	0	148	38	74	21	6	54	10	6
Glyma.13G343900	60	6	74	8	0	18	4	0	121	26	96	7	6	33	11	0
Glyma.13G344100	26	1	22	3	0	3	1	1	55	6	38	2	1	22	4	0
Glyma.13G344200	33	0	35	3	2	7	17	15	78	0	51	9	14	31	26	9
Glyma.13G344500	215	24	172	11	17	31	17	11	331	39	262	35	48	118	45	28
Glyma.13G344600	58	13	37	8	1	17	2	1	80	20	50	12	1	50	5	3
Glyma.13G345200	16	5	19	0	0	5	3	0	31	2	23	2	1	6	4	1
Glyma.13G345300	76	16	98	10	1	22	0	0	163	29	137	18	3	62	18	3
Glyma.13G345400	13	1	20	2	2	6	3	2	45	7	34	5	1	9	3	1
Glyma.13G345500	24	4	20	0	0	12	2	0	51	9	32	6	0	23	4	2
Glyma.13G345600	50	0	24	2	1	9	11	13	87	15	40	4	7	20	12	31
Glyma.13G346000	134	17	109	17	2	27	10	3	274	42	192	32	14	77	29	7
Glyma.13G346300	56	3	36	2	0	17	2	1	108	11	65	7	4	28	14	2
Glyma.13G346400	171	21	95	17	10	35	22	4	289	39	155	33	25	73	36	17
Glyma.13G346500	30	5	18	2	0	8	3	0	69	20	40	7	3	24	0	1
Glyma.13G346900	52	12	54	7	2	20	9	3	131	25	100	12	2	52	10	6
Glyma.13G347000	71	15	68	14	3	18	7	1	121	43	98	19	3	54	9	6
Glyma.13G347700	804	205	360	228	74	178	20	9	1844	490	670	345	303	600	84	83
Glyma.13G347900	46	6	35	5	0	25	7	1	102	12	66	7	2	49	14	3
Glyma.13G348100	49	4	41	5	1	6	1	1	107	9	58	8	4	34	7	1
Glyma.13G348200	42	7	28	5	0	19	3	0	119	14	79	8	2	29	4	2
Glyma.13G348300	36	5	38	2	1	12	2	0	65	15	44	9	1	41	5	0
Glyma.13G349200	94	17	71	11	2	22	11	2	202	35	142	16	7	65	24	6
Glyma.13G349500	32	1	10	19	2	11	3	0	55	4	18	31	2	20	5	0
Glyma.13G349600	50	5	37	1	3	7	4	2	79	18	53	8	4	42	10	1
Glyma.13G349900	36	13	23	1	1	4	5	2	90	14	34	8	8	32	20	6
Glyma.13G350600	16	4	25	3	0	10	1	0	27	8	26	2	2	25	5	0
Glyma.13G350800	15	1	21	4	2	6	0	2	32	6	22	3	4	7	3	2
Glyma.13G351200	112	10	50	2	1	5	14	5	191	11	105	4	10	27	32	8
Glyma.13G351800	83	18	83	12	2	23	5	1	209	45	137	32	4	65	25	3
Glyma.13G352000	13	4	10	3	0	7	3	2	52	17	8	18	10	38	12	5
Glyma.13G352100	35	0	25	1	1	10	7	6	51	6	25	7	10	19	17	17
Glyma.13G352200	92	14	59	14	8	27	30	2	167	27	89	16	9	99	35	11
Glyma.13G352400	29	3	21	3	1	6	2	1	48	8	29	3	4	16	3	2
Glyma.13G353200	95	16	86	28	6	23	1	0	184	34	141	36	15	80	16	2
Glyma.13G354100	21	3	6	3	5	23	2	4	55	12	20	7	30	61	3	12
Glyma.13G354800	47	11	8	7	1	14	2	1	65	18	29	7	2	29	10	2
Glyma.13G354900	285	59	201	47	12	118	28	4	662	167	330	101	30	276	66	27
Glyma.13G355000	79	5	311	2	3	14	17	1	204	17	557	6	8	36	36	3
Glyma.13G355300	26	6	20	3	1	8	2	1	38	8	31	2	3	11	8	3
Glyma.13G355400	41	12	31	4	0	18	1	0	90	16	63	12	3	28	6	1
Glyma.13G355900	50	8	38	4	0	14	1	0	79	12	47	8	3	37	7	1
Glyma.13G356600	13	2	4	4	18	13	1	1	36	9	23	7	14	38	1	6
Glyma.13G356700	20	3	17	5	0	12	1	0	37	7	31	8	2	24	9	2
Glyma.13G356900	55	14	39	11	2	32	5	2	129	24	72	16	7	74	12	6
Glyma.13G357400	52	10	54	9	0	20	3	0	140	30	68	25	8	56	7	1
Glyma.13G357800	99	25	36	10	12	90	4	2	143	53	56	26	17	178	8	10
Glyma.13G357900	77	4	28	0	9	5	17	17	140	16	31	1	16	24	20	29
Glyma.13G358700	24	6	14	5	1	10	1	0	50	8	31	12	3	19	6	1
Glyma.13G358900	126	7	161	10	1	16	8	1	223	15	282	4	5	28	17	4
Glyma.13G359000	48	5	39	3	2	12	4	1	97	12	87	9	5	37	16	1
Glyma.13G359400	22	5	16	4	0	5	1	1	34	9	25	6	1	14	4	2
Glyma.13G359500	50	6	51	7	1	10	13	3	118	21	108	11	4	57	32	10
Glyma.13G360300	39	11	28	4	2	10	5	0	77	16	50	11	1	25	15	6
Glyma.13G360400	158	23	158	20	8	49	14	4	270	58	249	28	11	122	34	13
Glyma.13G360500	51	15	41	9	0	18	3	1	106	19	66	14	9	39	5	5
Glyma.13G360600	40	1	39	4	4	8	16	1	80	6	51	2	6	17	18	1
Glyma.13G360800	17	2	10	6	1	10	1	1	27	14	13	3	0	24	5	0
Glyma.13G360900	91	8	69	9	1	28	10	1	165	35	124	11	5	72	32	5
Glyma.13G361500	68	20	55	4	3	21	5	3	129	32	113	21	9	45	10	2
Glyma.13G361900	665	38	429	44	29	131	152	3	1182	153	793	86	43	364	259	33
Glyma.13G362900	17	3	8	2	0	3	3	0	37	6	18	8	3	12	1	0
Glyma.13G363100	69	11	55	0	1	24	5	5	118	18	83	16	12	45	12	8
Glyma.13G364000	13	0	16	3	2	1	1	2	33	1	13	6	3	6	2	1
Glyma.13G364200	26	2	13	3	0	3	2	3	54	10	29	4	1	17	7	6
Glyma.13G364600	12	3	15	2	2	1	0	0	30	2	12	3	5	6	4	2
Glyma.13G364900	222	19	265	14	12	32	49	0	403	36	412	27	29	102	87	10
Glyma.13G365200	20	6	12	4	2	7	2	0	35	0	16	5	7	11	4	2
Glyma.13G365500	44	9	40	3	7	9	1	1	101	14	102	8	6	37	5	4
Glyma.13G366000	68	10	51	1	1	8	9	1	127	15	82	4	5	31	10	3
Glyma.13G366100	51	5	46	8	1	19	5	2	104	15	87	13	6	54	12	6
Glyma.13G366200	31	4	30	1	2	11	6	1	95	14	52	2	9	30	9	2
Glyma.13G366500	28	2	22	3	1	3	3	1	59	13	38	5	3	12	6	2
Glyma.13G366600	29	3	22	4	2	9	4	0	75	18	51	4	3	22	5	0
Glyma.13G366800	59	7	26	10	3	37	2	0	108	22	55	11	3	85	9	2
Glyma.13G367000	52	7	25	5	3	9	3	4	115	15	55	11	13	30	11	3
